text,label,source
Our Daytona 500 is on Wednesday! Shootout and Duels on Tuesday. Thants to @user for letting us use some rules. Rules 16 to the end.,1,tweet_eval
Colby Robak gets credit for 2nd assist on Rampage first goal. 1-1 tie\u002c Aeros in San Antonio\u002c halfway through the first.,1,tweet_eval
the denver omelette.. i wasn't expecting to hear about that one on this channel 😄,1,youtube_scraped
mark has a high tolerance in spicy food.,1,youtube_scraped
i still really enjoy when you were at traditional market then when you visit that expensive hotel in malaysia.,2,youtube_scraped
"god damn it, now i need a grilled stingray and chicken wing fix washed down with cendol asap tomorrow. it’s awesome being back in kl now with peak durian season.",2,youtube_scraped
does anybody want 2 tickets to go see Zac Brown Band on August 15? 100$ for the both of them. DM me or Jimmy if you're interested!!,1,tweet_eval
"NO. even if you David beckham, sitting under that hot ass sun with that 5000 dollars suit, you should still be SWEATING",1,tweet_eval
what is that 200 dollar rice plate made of?😮,1,youtube_scraped
Awkward when Marni in Halloweentown  completely changes people between the 3rd and 4th movie #imsickandnothingison,0,tweet_eval
Unplanned 6th Day of Eid with Bestie! #Eid2015,1,tweet_eval
"that bowl at 5:19 is either made of plastic or melamine, both not usable with hot food. why don`t they use ceramic or glass?",0,youtube_scraped
Just heard Green Day's 'Time of our life' for the 1st time since leaving florida and i burst into tears. I miss everyone so much xxx,0,tweet_eval
top tier foods in penang are located in mainlaind.,1,youtube_scraped
"you to me,, me to you ❤",2,youtube_scraped
It never not being fun to see Brock Lesnar kill people &amp; loving Heyman's promo with one problem #RAW,0,tweet_eval
"my most favourite malaysian food/drinks is roti canai, nasi ayam, satay, kolo mee, milo, and abc❤❤ i'm a malaysian 🇲🇾 terima kasih",2,youtube_scraped
"mark how is shi fu pan mee's spicy compared to the karashibi kikanbo's ""devil's level"" ramen in tokyo?",1,youtube_scraped
more the bony fish it will be much tasty,2,youtube_scraped
such a great video amy! the food all looks incredible! and i loved your little dance pause while we got snacks. luckily i already had mine so i could just appreciate the dance. 😂,2,youtube_scraped
nice to see mark enjoying his food,2,youtube_scraped
what you didn't eat the shrimp head 🤷‍♀️😭,0,youtube_scraped
oh my godd i can't believe it that my fav yts are visiting malaysia thank you for visiting our country ahh!!,2,youtube_scraped
#GoTexans v. the dirty #Jets football team on MNF tonight -,0,tweet_eval
dude cmon don't moan in front of people when cook 🤣,0,youtube_scraped
"my favorite part, when the cook at the stall rinses your fish in the dish water",2,youtube_scraped
"bruh!!😮, i live in malaysia",2,youtube_scraped
bangus in the philippines,1,youtube_scraped
Iran Says New U.S. Visa Rule May Violate Nuclear Pact - now it's starting to make sense.,0,tweet_eval
so this friday theres an open mic in ajax we\u2019re gunna test out some tunes at. anyone can play\u002c if you wanna experiment with a crowd\u002c holla!,1,tweet_eval
"i eat one meal and gain weight, mark eats for a living no weight gain.",1,youtube_scraped
grill fish..looks yummy ❤,2,youtube_scraped
did he just re-upload a video that i already seen before like two years ago,1,youtube_scraped
please do cambodian food its fire,2,youtube_scraped
you really don't want to be hungry when watching marks videos,0,youtube_scraped
"well in mark, did you manage to keep the food down?what chillis did they use?",1,youtube_scraped
damascus is my favourite restaurant among all and im from indonesia ❤,2,youtube_scraped
if you guys come to jb . you guys must try coconut ais cream in bazar karat jb,1,youtube_scraped
thank you mark.,2,youtube_scraped
@user ur company will give me my 500 pounds plus the cost of the laptop on Monday for what u did to my laptop!,0,tweet_eval
hai mark come to kl i can accompanies you various food here. i need to boost my youtube channel please 🙏,2,youtube_scraped
asam pedas can be served with telur dadar for more tasty experience 😋😋,2,youtube_scraped
"""George Osborne, demagogue, the man who gives control of the security of the UK to a foreign power",0,tweet_eval
"when mark's face turns red, eyes tearing and he sees doubled and tripled, you must know that it will kill the rest of us mere mortals😂",0,youtube_scraped
Internet is down.... Gonna have to hold off the stream tonight -_- We'll continue Dark Souls tomorrow. Have a great night everyone!,0,tweet_eval
"dear mike, you seem so happy all the time about eating, you must have been a starving animal in an other life ^^",2,youtube_scraped
you should visit penang for food.😊,2,youtube_scraped
legit a decent foodie channel but the way this guy consumes noodles with his mic too close to his mouth legitimately disturbs me.,0,youtube_scraped
Monday before I leave Singapore\u002c I am going to post something that might be offensive.,0,tweet_eval
"as always mark, awesome video! i learn a lot from your videos!",2,youtube_scraped
malaysian food is not very spicy.,0,youtube_scraped
now you know why obesity is taboo word in malaysia.. another must try is durian especially the d24 and musang king variant..,0,youtube_scraped
looks so nice ! <3,2,youtube_scraped
Niggas was really on some 10th grade shit tonight,0,tweet_eval
2:15 memang bukan orang malaysia….that not malaysian,0,youtube_scraped
@user People need to full-stop stop using that for White characters. Full-stop. It's EXACTLY what Nicki criticized in the 1st place.,0,tweet_eval
absolutely love the nasi kukus place!!,2,youtube_scraped
Tom hanks and bill Murray may be the two people I would most like to meet. Well\u002c them and Scarlett Johansen. Different reasons though...,1,tweet_eval
i got a hot sauce bottle of the carolina reaper chilli pepper🌶️. one drop of that sauce will literally make you cry 😭 because it's just too spicy 🥵🔥. i eat very spicy so if mark was able to eat that then that is not as spicy as it seems.,0,youtube_scraped
his spice tolerance is off the charts. i was tearing up watching him eat that spice. he even licked the spoon😮,2,youtube_scraped
A Florida player would never get away from a cop with pot and a gun in his car. Michael Dyer did - then got dismissed -,0,tweet_eval
Luna is taking a break today\u002c not perfecting any major aspects to any of the other 6 planets\u002c until she will meet Jupiter tomorrow morning,0,tweet_eval
"through playful and delicious food, videos is unbeatable 👍",2,youtube_scraped
27:53 pretty sure they dont kill the fish for caviar,1,youtube_scraped
thank you for coming to malaysia..great to know that you are here and u love the food..but next time dont forget to ask me so i can help u around hahahahha..bringing u the best food in malaysia..,2,youtube_scraped
i am retiring in thailand. you inspired me to visit malaysia sooner rather than later.,2,youtube_scraped
I hope this fever goes away tonight so we don't have to cancel Bentley's newborn pics tomorrow. #Hopeful,1,tweet_eval
"i am not worried about eating it, i am more worried about releasing it.",1,youtube_scraped
beef rendang is absolutely what she thinks she is ✨✨❤️,2,youtube_scraped
i’ve never seen him reach for a tissue… i don’t ever dare to touch that bowl of noodles 😂,0,youtube_scraped
so deft in eating rice with hand.,0,youtube_scraped
malaysia has some of the best food in asia! great video bro!,2,youtube_scraped
"that is a ""calamasi"" not a kumquat(stingray bakae)and it is chives not spring onions(char kway teow)",0,youtube_scraped
I spoke too soon. Flight just cancelled. Looks like I\u2019m stranded in Calgary. I\u2019ll try again tomorrow am! Eek\u002c I hope I make it #IYCsask.,0,tweet_eval
Demba ba injury not so serious so he should be fit for Liverpool this Sunday lets hope he scans ok that\u2019s the main thing,0,tweet_eval
i’m malaysia thanks for coming welcomee,2,youtube_scraped
I'm going to be so sad if I get to go to niall's hotel again on Saturday and he leaves like twenty minutes after I do again,0,tweet_eval
6:50 i’ve been to kin kin!! so yummy!!,2,youtube_scraped
i'm a malaysian and now i'm starving seeing this😭😭,0,youtube_scraped
i love how your wife makes your life so much easier lol she got in the line and saved a spot to save you time of waiting in the long line of food before you even got there 🔥🔥 now that's a true partner right there,2,youtube_scraped
"deen maju food are very very expensive, overly priced.",0,youtube_scraped
"i was kind of disappointed that the butterfly dough did not have any butterflies mixed in it. i thought they like to eat insects over there. also, what the heck where those hanging/spinning things at the salted egg mushroom stand?!?!? i slowed the video down to .25 speed and still couldn't tell what they were! i bet that was one of dancingbacons fav stands tho, saw they had all sorts of salted egg seasoned foods, and i remember her saying she likes salted egg stuff.",0,youtube_scraped
thank you for the wonderful video of the malaysian food stall marathon 👍,2,youtube_scraped
Interested in Islam?  This course is being offered at Overlake Christian Church.  The first class on the 14th is...,1,tweet_eval
what the 🐟 your video is more the n 2 hour 😂,0,youtube_scraped
mark be careful i ate something once i had to send it back in the resturant cause it was so hot,0,youtube_scraped
Wall Street analysts are estimating Atlantic City casinos may be down 10% for the year because of Sandy,0,tweet_eval
mark the mom in me was yelling no! stop! tap out 😂 i would be more petrified for the next day 💩 🔥,0,youtube_scraped
really enjoy watching you eat. your description is so detailed. thank you mark ❤,2,youtube_scraped
"in ""breakfast and coffee"" section, what is the name of the guesthouse that mark stayed in?",1,youtube_scraped
у них хоча б є тарілки,1,youtube_scraped
how this dude stay so skinny but post eating so much? sus!!??,0,youtube_scraped
the sambal is a bit too runny.,0,youtube_scraped
"i feel the nasi kandar is a little overkillthe chendol is not a beverage, drinking it like a coffee..you'll develop diabetes 😂",0,youtube_scraped
this is my hometown. proprietor is din kachung. used to be a comedian. (with hasan putu mayung..the memories),1,youtube_scraped
i’m thinking of travelling there during chinese new year holidays 👌 the food looks great 😋,2,youtube_scraped
I told my dad I may vote for Bernie Sanders this election &amp; he's literally giving me the silent treatment LOL HEADASS #butthurtaf,0,tweet_eval
Gucci plenty motive force poise november look up the biform thine persona inside magnification up industrial p...,1,tweet_eval
Lexus said it may be 2-3 more months before I can take my car to the dealer for the recall on fixing the...,0,tweet_eval
19:30 w homie,1,youtube_scraped
no one can handle chili like you mark. amazing.,2,youtube_scraped
try roti canal the best thing,2,youtube_scraped
"@user Tony Blair also deceived the Labour Party, NEC &amp;Cabinet in particular  But he won 3 elections!""",1,tweet_eval
definately nasi lemak!👌👌😁,2,youtube_scraped
#MLB #BlueJays David Price will be the starting pitcher vs Baltimore Orioles on Friday. @user,1,tweet_eval
supper spicy 🥵 👍🏼,2,youtube_scraped
"""Syria,Homs,Baba Amr under the fire heavy bombing by Al asad and his thugs 22 feb 2012",0,tweet_eval
He also told a story about a girl named Tamisha beat him up in 6th grade. He said she was like the Brock Lesnar of middle school girls,1,tweet_eval
"Bentley volleyball falls in home opener to Convent-SF. Tomorrow is a new day, keep improving. #gophoenix #ontherise #bentleyvolleyballl",1,tweet_eval
ty for coming to malaysia wish you can come again,2,youtube_scraped
are you in penang now? or was this filmed a while ago ?,1,youtube_scraped
"i see deen maju restaurant, i like.",2,youtube_scraped
This Rahul Gandhi aka Raul Vinci needs his bags checked no matter where he goes #interpol  May find some goodies !,0,tweet_eval
i love who you chose to collab w for next week's video! you can never go wrong w his recs,2,youtube_scraped
best food itw,2,youtube_scraped
"sorry… some of the food doesn’t look very clean, and using direct fire for bbq isn’t very healthy.however, i love kuala lumpur! i’ve been to kl six times already, and my next visit is this saturday.(it’s easy for me to find the food i like there.)",0,youtube_scraped
❤ don't know if i can but that was good mark ‼️,2,youtube_scraped
"if mark wiens says something is spicy, then the rest of us mere mortals have no hope.",0,youtube_scraped
"""not hot, not eating!""",0,youtube_scraped
"""My Guardian op-ed on Paris, Charlie Hebdo and the logic of terrorism.",1,tweet_eval
finally made it to malaysia!! you must get assam laksa and oyster omelette in penang!! then village park nasi lemak in kl.,2,youtube_scraped
food looks delicious and tasty,2,youtube_scraped
"hello, don't eat meat for breakfast! what you ate is lunch or dinner!",1,youtube_scraped
how the hell he is so thin,0,youtube_scraped
"for us penangite, whenever we return from any trips, and as soon as we landed in penang, we would definitely look for hokkien mee! 😂😂thanks mark for your whole 8-days documentary of penang. we totally enjoyed it and you really made us hungry, as i was watching it with my hubby at 10pm tonight😅",2,youtube_scraped
If you\u2019re on the Isle of Man next Thurs\u002c I\u2019ll be talking about Safe House and signing books at Waterstones from 6.30pm. @user,1,tweet_eval
geez! over two hours worth? this bloke should be fatter than an ox lol.,0,youtube_scraped
does any one know the address for the 1 and 2rd place to eat?. i am visiting in jan and would like to try. thanks in advance,1,youtube_scraped
pan mee seems like an asian carbonara. looks delicious!,2,youtube_scraped
Monday morning CalTrain ride from home to work is always to short. I know that I may be in the minority with that opinion.  #fb,0,tweet_eval
as an malaysian we usually eat with hand,1,youtube_scraped
that looked pretty spicy.,2,youtube_scraped
why you mark wiens always eat any food and not getting fat? how?,1,youtube_scraped
"Everytime I reread/re watch Game of Thrones, Ned Starks death at the end of the 1st book/season is the most depressing. #GoT",0,tweet_eval
"""He thinks hijabs should be banned 'cause of the actions of Boko Haram...that guy should be quarantined, for his stupidity may be contagious.""",0,tweet_eval
the saddest part of me not going to the Chris brown concert is the fact that i missed august Alsinas fine ass perform too :((((((,0,tweet_eval
hi nick and carrie am a big fan and am a malaysian glad you tried our country food❤😊,2,youtube_scraped
"nah..those suspense cinematic didn't work. i know it's within your threshold, mate.",0,youtube_scraped
wow this is a new one,2,youtube_scraped
i am malaysian. i am soo happy u came to my country 🎉,2,youtube_scraped
#MLBFantasy Ryan Raburn belted a pair of solo home runs in Monday's win over the White Sox.,1,tweet_eval
"""By Hadeel Al Sayegh DUBAI, Dec 24 (Reuters) - A fire at a hospital in Saudi Arabia killed 25 people and injured more than 100 others as it""",0,tweet_eval
"damn, check the entirely vietnamese film crew. big up from saigon",2,youtube_scraped
do an episode where you're really angry and you eat shitty food and frown,0,youtube_scraped
@user Interested? My EXCLUSIVE: TD Bank denies allegation it aided $7-billion Ponzi fraud; 2nd only to Madoff,0,tweet_eval
@user  Nobody knows if DRose will have the same game ever again when he does return.  March seems awfully optimistic to me...,0,tweet_eval
"does roti canai meant ""eatable roti""",1,youtube_scraped
im from chaosan decent near guagzhou province . the teochew,1,youtube_scraped
abc is like a flilapino food called gelato 😊,2,youtube_scraped
"""Rodgers: """"""""I've read we sent dossiers to the FA on Sterling/Sturridge &amp; having showdown talks with Hodgson on Sunday &amp; all sorts of rubbish""""""""""",0,tweet_eval
somehow your pronunciation has changed at 33:10 😅,1,youtube_scraped
the lady that owns the restaurant with the world's spiciest chili noodle is absolutely adorable,2,youtube_scraped
abc is my favourite and sweet it red been and a green worm and jelly,2,youtube_scraped
when did sonny become married?,1,youtube_scraped
shin kee beef noodle will blow u up to the moon just go try it guys,2,youtube_scraped
When Donald Trump called undocumented immigrants criminals and rapists he may have actually meant Christopher Columbus. The original.,0,tweet_eval
wow i kinda want to see a bts of this,2,youtube_scraped
School tomorrow more like fuck you.,0,tweet_eval
i just wanna know how the heck he doesn’t gain any weight?! he is a professional eater and looks very healthy ❤,2,youtube_scraped
George Osborne scrapped #CarbonZero housing targets in May because it'd 'never be affordable'. This is a bit awkward.,0,tweet_eval
miss bacon should speak often shes cute,2,youtube_scraped
mark…!! please eat nasi kandar as simple as possible.. nasi kandar always eat with chicken tight..and dont take a lot of protein…tips please do this step..if you eat nasi kandar..- nasi putih or nasi dalca- kuah banjir - chicken tight ( ayam goreng tight or ayam bawang tight or ayam tanjung tight )- telur masin ( salted egg ) the bigger the eggs york the better- telur bawang ( omelette )- kobis (cabbage)- bendi (lady finger)- sambal nyok ( coconut scradded sambal )- bawang goreng ( fried onion ) must havethis is local choice..try this step just change protein..hope you you enjoy nasi kandar..,1,youtube_scraped
The firewall? Obama\u2019s last stops of the 2012 campaign next Monday will be in Wisconsin\u002c Ohio and Iowa -- where his 2008 bid began.,1,tweet_eval
"and anyone who visits bangkok should try the best pad kaprao in town at phed mark restaurant, you will love it",2,youtube_scraped
"sonny rapping at 1:03.5 ""hid it wit a lil bita beef"" 🤣🤣",1,youtube_scraped
your wife is so cute 😍,2,youtube_scraped
naah malaysian food review but only filmed at kl need to stop you cannot find every authentic malaysian food at kl only go visit other state with each of it own specialty . honestly this kind of,0,youtube_scraped
malay malaysian here. i was also once got chased by a dog when i was a kid. you need to release the raw footage of you got chased by the dog. would love to see the footage 😂😂,1,youtube_scraped
i do not know why mark's videos always comes up when i'm fasting.,0,youtube_scraped
malaydesh - malaysia bangladesh 😂,1,youtube_scraped
1st is indonesian next ones are indian,1,youtube_scraped
I was gonna see Ed Sheeran tomorrow but nooo it sold before I could buy my ticket. Same with Halsey,0,tweet_eval
mark is as cool as anthony. so entertaining.,2,youtube_scraped
disgusting slobs eat with their hands like that.,0,youtube_scraped
"eating the paitee, some prefer to dip it in the sauce, but i love it better when you scoop the sauce and put it on top. the flavour is more intense and mesh so well together",2,youtube_scraped
"i've never seen him react this way, if he's like that i can imagine thats like a bowl of lava he just ate 😂",0,youtube_scraped
how the heck do you stay so skinny ??,0,youtube_scraped
adam pedas = halászlé in hungarian language. we are putting into the soup some dry aged chili.,1,youtube_scraped
the only reason i dont watch this channel as often is because it feels like im intruding on a private moment when he eats.. lol.,0,youtube_scraped
really good episode.,2,youtube_scraped
@user The item may be sold by a number of sellers or Amazon directly which could change delivery estimations. Do you have a link? ^KW,1,tweet_eval
"i love how no matter where in the world, the universal sound of a street market is really loud generators",2,youtube_scraped
kwey teow is my favourite malaysian meal i try to eat it once a fortnight,2,youtube_scraped
