text,label
delipus in. taste. sweet. in cily. paste,1
wa no was fantastic! i wasn’t brave enough to try the beef lung though 😂 happy travels!! ❤❤,2
does any one know the address for the 1 and 2rd place to eat?. i am visiting in jan and would like to try. thanks in advance,1
"maybe it's just me, but he eats like a pig",0
everything looked great until you got to be durian. that is the most disgusting thing ever made in the world. haha. stinks like shit and tastes about the same. 🤣🤣,0
do come to sarawak east malaysia….you will be even more intriqued with our local cuisine😁,2
"cuma nak pesan dekat pakcik pakai baju biru tengah marinate ikan bakar tu, tolong pakai glove, ibu jari kuku panjang, cincin tolong buang. please jaga hygien.",1
those bones i cant deal with,0
oh my goodness..i am dying to go back to malay just to eat their food..yuumm,2
"@user:56 - more like mark ""veins""! 😅",1
address in malaysia.. i'll go this nasi lamak restaurant,1
"i am meeting my uncle's family in kuala lumpur nov 28-dec 5. we will try street food in bukit bintang, chinatown and jalar alor!! i really look fwd to it!!",2
you should be arrested and put in jail. you abducted a woman by luring her to pose for photo shots at your spooky studio and then you kidnapped and used her as a slave. you need to be arrested.,0
চোখ বন্ধ করে ভয়েস শুনলে মনে হয় খেলা চলতেছে,1
😁 yummy yummy foods yummy yummy 😁,2
"mark, the terubuk has a lot of bones but my teochew grandma would cook it for many hours using asam and salted vegetables. the results? the whole fish, including the bones, can be eaten.",1
experienced the clay pot rice in jalan alor. it was incredible ❤,2
is it me or is it that this food always is lukewarm? like all that food was just sitting in trays.,0
can 1 travel to equator malaysia in november? or it rains whole day ?,1
do you over react?,1
wow! the clay pot rice! slurp!!,2
my dream is to eat that clay pot chicken rice!,2
that bonnie fish is called ikan terubok,1
8:19 thats not milk fish thats hilsha ( elish) .,1
my mouth is watering,0
nasi lemak i prefer with curry fried chicken,1
ok u use a spoon to add crap to ur food why not just eat with a spoon makes no sense,0
"long time no see,mark, but have been working for a malaysian family this week, and it has sparked my curiousity,i am now thinking of a trip to malaysia, and headed here to get some inside information. i love that you squeeze so much detail and content into each video, i cant wait to try those dishes, they look amazing👍",2
try satay kajang,1
location of the chicken wings ??,1
"it's totally fucked up place, the native people have been fully converted into muslims , this is really sad to see",0
"according to google, the common malay name for a milkfish is ikan susu, with bagas and bandang (which are more common elsewhere in southeast asia and the pacific islands)",1
this video just made my day!,2
thats enough! will come next month to kuala lumpur<3,2
"next time try cooking classes with fizah in kuala lumpur, you will taste the best nasi lemak in malaysia!",2
loved the visuals here.,2
there's no way l would eat with my hand even if they offered it for free.,0
mark. do you travel with a lot zyloprim (gout medicine) ??,1
a little bit of chili sauce 😂 not really 😂,1
"look very familiar using hand ,congratulation",2
you deserve every bit of success coming your way.,2
"have you ever eaten anything you absolutely hated, almost made you gag",0
bro learn to eat fish 😅,1
mark is a chili sauce..,1
ikan terubuk (toli shad) has a ‘y’ bone and can live in both the ocean and rivers.,1
"he truly loves food, the way he describes durian is so on point",2
they just dunk that fish for a few seconds then grilled it..the marination not even get into the fish..the sambal n all the sauces condiment helps that fish ..if you taste the fist without sauces condiment it bland.. tasteless. if you want to eat ikan bakar pls go to malacca..,0
the nasi lemak guy with good spoken english 👍🏻 impressive.,2
those wings had me drooling,2
this made my brain happy.,2
you win the internet today.,2
"this reminded me of my childhood, anyone else?",1
i love claypot chicken rice ❤,2
u must have high metabolic rate. din't get phat.,0
would love to visit malaysia on my holidays.. inshallah,2
"omg. that moment when i saw he dipped the fish in the turmeric marinate with his ring on his finger, i know i'm never going to this place. disgusting! same feeling as watching people eat at streets in india.",0
dang! why am i watching this at 1230 am? 🥺🥺,0
"i understand because my lady had baggy khakis when i first met her and then i seen her naked i was like damn i'm a lucky dude,but it was her eyes and shyness that made me pursue her.25 yrs later we still at it i'm 47 she 50 i think i over achieved 😂",2
love your videos mark❤,2
raih kemenangan besar di sukajp slot gacor! mainkan sekarang dan nikmati keuntungan luar biasa!,2
"modal receh, hasil mewah seruu banget 🔥𝐖𝐄𝐓𝐎𝐆𝐄𝐋🔥",2
no gloves with ring on finger virus,0
unwatchable. too many invasive advertisements,0
cendol is from indonesia 🇮🇩,1
"dear, mark wiens thank you for bringing south east asian food to so many people for so many years.",2
"sorry, that fish thing doesn’t look very appetizing!",0
drop a like if you agree.,1
i m resentful this guy travels the world and eats from my tax money i stopped watching him glad trump put stop to the money,0
looks delicious 😛,2
love the claypot chicken rice❤,2
that is a stupid cendol,0
please eat with your mouth closed and don't smack.. it's gross!!,0
"mark, how tall are you?",1
"food looks delicious, but eating with hands turns me off. it doesn’t look very appetizing. i know i’m biased because i didn’t grow up in that culture, but i’d be willing to try doing it",0
terubuk fish is kind of a love and hate type because it's delicious but many bones,0
that is disgusting!,0
"seriously, how do you keep so slim with all that food?",0
all the dishes looked a bit disgusting and mediocre,0
"that beef noodle shop, my mother used to buy for me and my siblings , but a year ago when to dine in there, the staff were so damn rude, if it wasn't for the mother who did all the cooking, the shop wouldn't be that popular. they dont even ask if you mind sharing table with other people, just force you and if you refuse they give you a disgusted look",0
the terubok fish is a very forked boney fish but the meat is so tasty with natural oil,2
wow. sambal sotong 😋,2
super amazing and delicious!,2
the indian food in malaysia is so much better than whatever calls itself malaysian food. it almost seems like the malaysian recipes are halfway towards the indian recipes which are so much complete in terms of flavour and balance,2
it's terubok or toli shad fish,1
milkfish is ikan susu in malay language while the grill fish is ikan terubok (toli shad). ikan susu with less bones but ikan terubok with much bones that needed to be removed before eating. both fishes are nice for grilling and cooking asam pedas,1
"for bbq wings i would recommend bbq wings from queen’s restaurant, jalan peel",2
the guy forgot to put gula melaka in your cendol..cendol should be in light brown colour.,0
"shout to our nasi lemak, malay food always number one in malaysia yoo!",2
"""it's needs to be bitten.."" - mark wiens 2025",0
terubuk = trouts,1
"hello, don't eat meat for breakfast! what you ate is lunch or dinner!",1
i love durian it’s my favourite fruit ❤❤,2
i love that food and fish is my favourite,2
"i bet if mark is fed cardboard with chillies, he would 100% roll up his eyes . 😂",1
are they use the colors of their clothing to symbolize an arab israeli citizen without his consent in the media?,1
"malaysian watching from canada, im just missing those 4 spots which i am familiar with, omg literally im crying when that thanni saar poured over that sambal petai, thats emotions mann!! and that juicy wings and that nasi lemak.. goshh !! cant wait to have my hands on those!!",2
it's call terubok fish,1
"mark or anyone commenting here, can share the location of the beef noodles, chicken claypot rice and the chicken wings stall? thanks in advance",1
omg this is the first time i saw kangkung in nasi lemak!!😮,2
gosh i live for the nonveg food.. but this is the holy month of shravan in india and i have to abstain from it for the whole month. it's killing me to watch it 😭 i'm falling off my chair 😂,0
are the wings better than the ones in jalan alor?,1
at this point. mark is asian already 😅,1
nasi lemak on top of the world! 🗺,2
i just hate your fake facial reaction when you put the meals in your mouth.,0
"how can someone eat so much food in a day? 😅😆 i mean, the nasi lemak should be able to last me at least until 2pm. anyway, great to see mark indulged in malaysia food!",2
"dammit, now i'm hungry again. some of the dishes this mark gets to eat look soo good. jealous.",0
that might be the best looking grilled chicken wings i've ever seen.,2
mark tell me where the chicken wing is located?,1
acik bukak la dlu cincin tu aduh fail btl klu tgok org meniaga makan pakai cincin mcm ni dah mcm negara luar 'tu',0
i have tried those beef noodles in kuala lumpur. really good,2
"once again , a scintillating variety -- and a reminder that it is always a good idea to keep penang in mind . i couldn't find any record of your visiting ipoh. surely you have also given that palce a whirl .",2
does the guy have a lazy eye? glass eye?,1
malaysia is the best food i think 😎👍thanks mark..for recommend,2
i love the food,2
wow that look amazing ❤,2
"the beef ball really is a highlight, the best beef ball i ever have! the claypot chicken rice is king! the chicken wings looks yummy, i must go try!",2
"that boney fish call terubok,and as for me i won't choose that fish coz of the bone structure, it's hard to eat,i go for more like flakey fish like talapia,red snapper or sea bass more easy to eat,and also those stingray,but be careful coz there's a lot of stingray species, don't get the awful smell one it will ruined your appetite when you eat it,it smell like urine for sure.",0
6:41 its not ikan bakar but its pepes ikan,1
my boy mccoy would love this,2
need this food in my life !,2
mm . buen provecho 👍🥰,2
my fav thing to have in the morning is chapati 😍,2
terubok is a very tasty fish but lots of bones,2
"my favorite food , claypot chicken, hope he had salted fish in it.",2
coconut rice is not nasi,0
a good sambal nasi lemak cook min 5 hours.. the chillis will cook fully and break the oil nicely.. that's why the sambal is tasty..,2
"8:25 it's called 'ikan terubuk' in malay or toli shad or chinese herring (tenualosa toli), a highly prized fish among malaysians for its meat and eggs.it's a really good fish for grilling as the meat is dense and fatty, though you have to be careful eating it bcoz of the long and tiny bones. goes really well with the air asam and sambal kicap for the grilled fish.",2
16:57 bakso and mie ayam but they change the ayam with beef😂😂,1
"excellent! i thought qatar was a highlight, but seems everywhere you go, food is a highlight.🇲🇾😋🤤",2
terubok is toli shad or in chinese sam lai yue. it is becoming extinct so enjoy while you can. very bony but also very tasty.,2
my stomach hurts just watching the street food,0
"as always, eating it like a local. but if i may, belacan is not said with ""bell"". it's more with like ""burr"" without the r.",1
i would love a spoon and less gravy,0
where is the location of the chicken wings?,1
nasi lemak wins!! flawless victory!!,2
my parents usually fight during dinner. i put the ipad on the side of the table and distracted them with mark videos,0
i like how your balancing between malay and malay/chinese,2
"mark wiens, i want you to be my friend.",2
i love chicken wings.just looking at your video makes me want some chicken wings right now,2
hey.. i just stumbled upon your channel and it might just be the best thing to happen to me during my pregnancy. i’m malaysian living abroad and your videos help me ease my pain of missing malaysian food so much because you eat so well!! the baby and i thank you 😭,2
nasi lemak and cendol durian look bomb!,2
hi mark….i belief u r very good eater for having nasi lemak in the morning breakfast…. like msian do..😅,2
"mark, how can you eat so many things in one day and still in good shape? 😅",2
mark.. cara makan memang cara asean.. mantap 👍👍.,2
"cant you ever say ""..oh nope..this was not good.."" xp",0
malaysians are just so sweet and kinddmy favorite country for sure,2
mark love your show. you are going to make me fat!,2
so sad it's a muslim country who hates jews,0
mark know how to consume every type of food in a best way,2
what a vibe this place has! i'll be there soon with the oteritos — my travel community — and i can't wait to see how our perspective matches yours. you guys nailed it!,2
the first mat salleh i know to love durian,2
it has been rather repetitive narrative. it seems your videos nowadays are just for the sake of content creation. there are no new discovery or a story to what makes a cuisine in a society. you need writers to reborn your storyline..i do think your content has become banal. please do not get me wrong.,0
you tour is not complete if you didn't eat bak kut teh,0
welcome to sri rampai,2
thank you mark for coming malaysia and introduce our delicious food to the world❤ the people are lovely,2
bangus in the philippines,1
you don't look much older than you did 11 years ago. must be the good food :) thank you.,2
"thank god a huge food creator finally went to malaysia so they can stop crying in videos of their neighbors. thank you mark wien. sincerely, indonesians & singaporeans.",2
nice video ❤,2
how can such a big food channel call a fish grilled when it's fried and even more so steamed when it's in a leaf?,0
"bah kut teh was created in klang and not singapore, go try it here.",1
the fish is carp. the crapiest fish ever.,0
mark u are awesome..manage to find the best bbq chicken wings..,2
while those wings looked awesome.. those prices are like us prices for chicken wings 😳,2
"mark, i love your episodes - i love to cook. but do you know if the fish you are eating is a sustainable resource for the region you were in for this episode?",2
i love how u eat nasi lemak using ur hand. its how the local eat ❤,2
"mark, the apam balik next to mak teh's grilled fish is also delicious..",2
luvd malayasia kualalampur,1
nasi lemak with kangkung is the classic way of having the dish in melaka.,1
is it just me or did his voice change lol,1
yes please 😍👌,2
that is hilsha fish.. the national fish of bangladesh❤,2
your passion for food inspired me to start filming my own street food vlogs in dubai 🙌 just shared my first one trying karak for 0.25$!”,2
13:35 one of my faves!,2
never visited bulgaria 🇧🇬 😐,0
nasi lemak is just like nasi uduk in indonesia,1
some peanut burn😂,0
durian also known as king of the fruits. most popular variant is musang king and duri hitam (black thorn),1
this episode absolutely nails the night market atmosphere! 🌙 i filmed a kl food tour too – kampong baru & jalan alor truly deserve more attention globally.has anyone compared kl to bangkok’s ratchada or taipei’s shilin? curious which one cooks top-tier street eats! 🍢🎥:,2
omg that man is a chicken wing master. mark has me wanting to go to malaysia just for those!,2
do you ever eat what an actual local can eat and not just on their best day or a pay day?,1
how mark stays slim after all those years of eating is unreal.,0
rm25/kg for kampung durian is daylight robbery. typical price below rm10/kg,0
mark it u remember back in bangladesh that boniest fish we call ilsh its our national fish ❤❤,2
good to see uncle mark still going strong! 👍,2
schumi de las comidas jajajaj,1
that fish you ate at ikan bakar is ilish or hilsa which you ate in bangladesh,1
the fish look like hilsha fish,1
welcome back to our city 🇲🇾 do make sure to try our foods in different states!,2
"hye there, welcome to malaysia! i hope you guys have a good time here 🤗",2
nice share mark❤,2
beef noodle soup best with meatballs 🥹i also love chicken noodle with soup bowl,2
childish and embarrassing!,0
"mark you said nasi lemak is the best breakfast in the entire world ehh, wow..😅",2
"after eating so much food, how you keep your body fit? please tell us.",1
i lived two years eating those bakso noodles! it has everything a body needs and tastes amazing,2
my street food are way better than bkk or sin !!,2
mark is in malaysia during durian season again.,1
the marinated fish reminds me of indian food 😂😂,1
yummy yummy 🙏🏿🙏🏿🙏🏿🇯🇲🇯🇲🇯🇲,2
"ten years ago we went to kl and langkawi, two weeks before you released your videos in the exact same places. we followed and went to almost all your suggestions. we're finally going back again in two weeks time and blow me down, you release another kl video 😂. great to have an up to date list of places to try!! we did go to mat teh last time pre fire but keen to head back for the ikan pari",2
how can you eat so much and be in shape? 😅🙏,1
isn‘t the fish with tumeric called ikan kunyit? or am i wrong?,1
"welcome mark to malaysia again~7:54 that fish looks like kembung fish, a lot of tiny bones.",2
"24 hours is not enough for malaysia’s insane food scene! 🇲🇾nasi lemak,the sambal, the grilled ikan bakar, the sticky cendol—mark’s reactions say it all 🤤honestly, malaysian street food deserves a week-long series — so much flavor, culture, and heart in every bite.malaysians! what’s the one dish you think mark still needs to try? 👇let’s build the ultimate 🇲🇾 foodie checklist!",2
"you should try out the famous ahmad muzakin claypot rice in sri petalling, close to the national stadium in bukit jalil! the restaurant is operated by a malay couple fluent in chinese languages like cantonese, hokkien and mandarin and it serves a few dishes including steamed fish. you should try out the lamb claypot rice containing a distinct aroma from the usual chicken claypot rice.",1
"i think today they call the ""wings wings"" the flats, the tips and drumstick.. dunno how flats evolved to be in wings, but i'm fairly certain that's the name",1
terima kasih mark wiens,1
omg.. the durians chendol is killing me!! i must try thatt.. 😭🤤,2
"street food perfection right here!mark, your energy and love for food are contagious! that fish looks tender and packed with flavor — kuala lumpur is truly a street food paradise! 🇲🇾🔥in vietnam, we also have incredible local dishes wrapped in banana leaves like this — from grilled black chicken to sticky rice with forest mushrooms.if anyone’s curious about the taste of vietnamese highland markets, feel free to explore with us! 🧡🍃",2
someone knows about markwiens what is the camera and lens model used?,1
thank you for that..,2
less large mouth and more personality would be a good morning mantra for you.,2
"menyesal aku tengok malam2, tak pasal lapor",0
"when i visit malaysia, the food i really love is nasie lemark",2
wow you're so much good be are taster culiner dude❤❤awesome ❤❤stig rare i love its so much ❤❤,2
"great content, mark. malaysia is truly rich with delicious food",2
that yellow fruit is jack fruit aka in bangladesh 🇧🇩 as khatal,1
"my favorite..ikan susu bakar, always choose the big one..coz lemak kt perut tu mmg sedap..cicah air asam@ budu@ kicap lada mmg 👍🏻👍🏻",2
nasi lemak ftw! 👏,2
see u again. i really love the expression you show to every food that you have eaten.you make me feel hungry.🤩🤩 i could see that you really into nasi lemak.😃,2
"hi mark, the beef noodles and claypot rice is also my must go restaurant when i'm in kl. nice to see you enjoying them.please visit taisyu yakiniku at taman desa and tnr by sean & angie in pj then let me know how you do you think about them !",2
"thank you for all the great work you do showcasing different countries mark (especially malaysia since i'm malaysian), love your videos !",2
i swear man. eating the nasi lemak has been a life changing experience for me.,2
man that chicken wings brings so much memories. we don't have that in singapore anymore. claypot rice is super famous and its a must go.,2
i noticed they didn't wash the rice for claypot rice.,0
should go for claypot chicken rice in brickfields,1
"hi mark! i'm your new subscriber. omg mark!! nice! you picked the best spot, for ikan bakar, my favourite for a reason!! been loyal to mat teh ikan bakar since 2015. it's my must-visit spot every time i'm in kl. still as good as ever! even better! now with a bigger space and great ambience. you should try ikan siakap instead, (my favourite) lesser bones.. hahaha! and yes! both sambals are the highlight for me, spicy, and addictive. thank you for the recommendation. will try the nasi lemak on my next trip to kl!",2
thank you for always visitiong malaysia. as malaysian we travel to thailand a lot too . proudly love for malaysia & thailand,2
"you’re such an inspiration, mark! as a food & travel vlogger from saudi/bangladesh, i’m also creating cultural videos like yours. much love from 🇸🇦 – @user",2
best terubok fishes are from the sarawak rivers. taste awesome and bones are not so cumbersome and you must try awesome midin sambal belachan bintulu in your hot white rice to complete your meal. midin fiddleheads green or wild fern.,2
it's amazing there. they don't have migrants taking over. ❤,2
why don't you ever go to kuching? it's a true food city!,2
"the first fish you had is hilsha fish, the famous one that you had in bangladesh near the padma river bank.",1
fantastic mark - oh boyy i gotta try me some durrian now!! 😂,2
will you be travelling to afghanistan?,1
"i have travelled all around the world and nothing, i mean nothing beats malaysian food and food in malaysia! it’s a food haven",2
"hey mark and family.we enjoy the videos, when are you visiting guyana 🇬🇾?im asking on behalf of myself and the guyanese community.thanks!",2
wow mark what a breakfast in the opening. that would be for my breakfast and lunch. i do imagine how unique and rich in flavor is malaysian food. i'm thinking it's a blend of it's special spices and blending indian and chinese flavors which i'm a fan of both.,2
why don't they remove fish scales..8.00.. thats aweful..,0
that clay pot rice and the beef noodle soup! i need those in my life.,2
minta kkm check kedai ikan tu sebab pakai cincin,1
"hey mark, when will you come to canada",1
you should try traditional dessert next!,2
"ikan bakar, nasi lemak and durians are one of the greatest foods in the world.",2
the chicken 🐔 wings !! yummy~,2
"your face ah, very good to promote any food. as long as it's good i guess.",2
another awesome video ❤,2
"i guess there's a good reason why malaysia is south east asia's 2nd most obese country (brunei takes )there was probably another malaysian dish hidden in that nasi lemak, called sotong kangkung.malaysian ulam (salad) is something that most tourists don't notice. it's often raw or boiled, with various veggies and herbs.",0
"bro, when will you come down to sarawak? will love to drive you around to hunt for the best foods over here!",2
you must head to sarawak!,1
this looks better than nasi lemak wanjo though,2
how much was the ikan bakar meal?,1
idiot mat teh worker had to recommend terubuk.. the boniest fish available.,0
i sat behind you at mak teh’s and i said hi!! hi mark!! (the one wearing green tshirt and licking her fingers),2
love this video. foods looks very good.,2
i’m happy u like to eat durian 😆,2
nasi minangkabau next buddy,1
nasi padang next buddy,1
"for beef noodles you gotta come to borneo island, sabah. still part of malaysia. we got 5 or 10 different styles lmao",1
หยิง - ฉันรักคุณ,1
thank you dude 🤣🤣,2
"philippines is way much diverse seafood than thailand, malaysia, vietnam even singapore.",2
philippines is much more fish and other seafood much diverse.,2
all kinda food around the world can be found in malaysia.,1
"terubok - toli shadfatty flesh with tonnes of bones, becareful",1
"sorry… some of the food doesn’t look very clean, and using direct fire for bbq isn’t very healthy.however, i love kuala lumpur! i’ve been to kl six times already, and my next visit is this saturday.(it’s easy for me to find the food i like there.)",0
"i'm waiting in indonesia, mark",1
mark i love you bro,2
"even with a constant empty stomach, 24 hours is not enough to try out all, and i mean just street food only.",0
malaysia never fails when it comes to street food — every bite looks 🔥! now i’m booking a ticket 🤤✈,2
at 6:12 don't you just love how they are dipping their hand into the marinade with the ring 💍 they are wearing as well. delicious 😋,2
love kl the food there is fantastic and cheap! can't wait to go back there one day,2
come to jb bro let me bring you go eat legendary local foods 😎,2
"24 hours in kl isn’t enough to cover all the street food greatness, but you crushed it! 🇲🇾🔥 roti canai, nasi lemak, satay—so many bold flavors and amazing vibes. malaysia really is a food lover’s dream!",2
the restaurant opposite the clay pot chicken rice must try !,1
morning rain.. hot nasi lemak and teh tarik.. bliss,2
"i'm your follower since 2018, welcome to malaysia mark wiens🙌",2
all of the dishes look crazy yummy.,2
"if i had 24 hours in kuala lumpur, i’d probably eat exactly like this — every dish looks so good it makes me want to book a flight right now!",2
you visited my favorite beef noodles store! the queue is longer nowadays after it was awarded the michelin bib gourmand,2
"mark, that is the dried cuttlefish, not fresh squid..there is 2 type of sambal sotong sold with nasi lemak. secondly, nasi lemak with kangkung signified that this type origin fm melaka. only in melaka you can get nasi lemak with kangkung. just fyi.",1
i support your video,2
welcome back to kuala lumpur malaysia ❤❤,2
"i love your work, mark wiens. been watching since 2020. and i finally think i will start my own channel. you are truly a great inspiration for following your dreams and encouraging others to do so.thank you for being you. keep going!",2
how come you're so skinny despite having consume so much food everyday?,0
i dont like the texture of lungs.,0
mark you are the best!! mo amigo ❤🇵🇷,2
jacobfuckingjones got old god damn,0
"i have to go back to malaysia , definitely!",2
7:55 @user weins ikan terubok is chinese herring i believe,1
"why u keep eating chinese based food man, wheres the traditional malaysian food.. other than nasi lemak..",0
"i love this channel. i am a subscriber.. but with all these different foods that mark is eating, i bet when he goes on the toilet to do his business.. i think he goes ""mm0 wow oh wow oh man.""￼",2
grew up in malaysia ( kl) sadly today it's full of tourists - way commercialized - i'm 54 live in america -,0
mark do u remember break fast in peshawar pakistan & charsi tikka in peshawar 💚🇵🇰✌️. ur favorite break fast??,1
"best cendol at makan time, kota damansara.. bursting with pandan aroma, freshest coconut milk and the best quality gula melaka..",2
how israel guy get into that country ??,0
когда приедете в кыргызстан?у нас очень вкусно 😋,2
you should try nasi paipon,1
cendol=pandan noodle 😂 cute,2
please like so everyone can see the timestamps0:41 nasi lemak leman jah5:16 mat teh ikan bakar13:13 sin kiew yee shin kee beef noodles18:47 168 claypot chicken rice24:40 sri rampai ah long bbq chicken wing32:03 mamam place cendol durian,1
wingman needs a michelin ⭐️,1
"dear mark wiens, i was waning to request to you to please make a youtube video of you and your family going to beijing, china for a food tour. also, i am born in beijing china and thats why i asked.",1
this video is so yummy 😋 in it’s entirety. thanks @user wiens for never disappointing,2
you are in malaysia! hope to get the chance to meet you,2
"when you plan to relax in the middle of the night watching youtube, and got recommended by mark weins latest malaysian dishes, it's clearly that will be the worse emotional and mix feeling about to happen. mouth watering, rage, and disbelief feeling you have to endure..not fair mark., that's not fair.. .. literally..",0
you must pay a visit to kelantan. i think your mind will be blown by the culinary excellence.,2
those are really lungs in your nasi lemak? i would not eat those.,0
how is it that you don't get fat over the years? that always eludes me.,0
but the grilled fish is scary. bare hands were used to soak and to retrieve the fish from the plastic container. is this hygienic.?!,0
"paru, or beef lungs in english is one of my favourite meat",2
hey mark. please review nasi kandar hajah mydin at penang. very affordable fish head curry. it's trending right now !!,2
"i love seeing the locals in the back just living their life, eating, everything natural -- while the biggest foodie youtuber is doing his thing!",2
i love malaysia raining,2
things must be bad for mark’s viewership if i am seeing ads every 5 mins. sad,0
24:55 you are absolutely right,2
just can't take the eating with hands too gross,0
the squid on the nasi lemak is called cuttle fish. its not squid.,0
"it's currently durian season in malaysia, the current prices are cheaper now. rm25/kg for durian kampung is usually off season price or tourist area price",1
"8:09 the fish, ""terubok"" refers to a type of fish called toli shad, also known as chinese herring or longtail shad.",1
the bony fish is milk fish or bangus 😅,1
moderate and pleasant and cool and nice and good one.,2
have you discussed with your pancreas?,1
water morning glory? hehe,2
"untuk kedai ikan bakar tu, tukang celup ikan dalam kunyit tu kena buka cincin, malah semua pekerja kedai makan tak boleh pakai cincin sebenarnya, seperti guidelines penyediaan makanan. cincin tu pakai seharian boleh jadi macam2 melekat di celah cincin.",1
they can speak english?,1
mark i love to watch u eating 🤤😅,2
yuk. beef lungs.,1
adoi celup dengan cincin,1
"nice food. can't recommend the lemanjah nasi lemak, though. was there a month ago. the rice was too dry, with no fragrance as it should be; the sambal was spicy but lacking in the other original sambal nasi lemak taste, and all the dishes were so overrated that not even one is really a distinguished dish compared to other nasi lemak around the kg baru area there.",0
my country has the best food 🇲🇾,2
"oh my god! food heaven! the ulam raja, sambal blachan! yumz!",2
"milkfish in indonesian is ""bandeng"" so maybe it's the same in malaysian? lol.",1
"mark, 8:02 same species with bangladesh official fish that you eat during travelling there",1
more the bony fish it will be much tasty,2
8:08 it's ikan terubuk. my favourite 😍 it's for a patient man 😅😅,2
nobody likes boney fish,0
those chicken wings are just the tastiest-looking wings i've ever seen!,2
that ikan bakar guy shouldve have told you that ikan terubok is not for beginner,0
"the best way to eat the traditional simple nasi lemak is to mix all the sambhal, ikan bilis, and peanuts together until all the rice is coated with the sambhal.",1
"if i had been there, i'd have gone to all of there. last dessert was a cherry on top.",2
everything you showed looks so delicious…. that breakfast looks awesome. i am going to kl in two weeks. these information is great.,2
welcome back mark!,2
ചിലരുടെ 'അമ്മ യാളുടെ രഹസ്യ കാമുകി ആയിരുന്നു..😂😂,1
good 👍 ❤❤,2
"mark , hop on a flight and come to kota kinabalu sabah~ dm me im a tour guide here xd",1
..soon kee beef noodle is the best in kl 😁,2
