comment,label
that green citrus is calamansi. it’s not a kumquat. i wouldn’t be as upset as i am if it wasn’t for the fact that calamansi are amazing! we bring them loads of them back from singapore we love them so much ❤,2
rm66 for 30 sticks of satay is crazy,0
"1:54 otak otak between bread is heaven 🌈 also you arrived after the trump show left, well timed 😂",2
"make a note for next time in malaysia to try cempedak fritters, so basic and so good",2
"19:19 if it's mango chutney, then it's probably pieces of raw/unripe mango that were cooked down to the soft potato like consistency! and the dessert is called kesari because of the vibrant saffron hue (saffron is colloquially known as kesar) glad you liked it!",2
"aww.. you were just opposite my house 😄next time you come, can recommend way better banana leaf. the one you had were the higher end one. go where the local go daily.. and it's much more cheaper too",2
can you try apam balik? its so yummy😂!,2
as a malaysian the stingray is the best in malaysia,2
- i tried blood cockles && they were gross i spit it back up. 🤧,0
the kway teow looks yummy. how do i get to there from kl sentral?,2
"blood cockle contains heamoglobin, not myoglobin. so it is indeed the same protein found in red blood cells used for oxygen transportation.",1
"the green stuff they put in the char koey teow wasn't green onion but chives, and that ain't turnip in the rojak but actually jicama or yam bean.",0
that is not 13lbs of stingray.,0
that oyster omelet looks disgusting.,0
i love eggs and i love oysters ❤,2
peanut buttery char kway teow??,0
i love blood clams.,2
like the oyster omelette 😊,2
cockles is a staple in asian.. 😂 while white people afraid of it.. hmm remind me of uncle roger quotes 😂😂,1
that stingray looks good.,2
"i'm from sabah, have you tried sang nyuk mian （生肉面）? it's pretty good ain't gon lie",2
2:09 these mee udang is very good,2
u made me wanna visit terengganu for some lekor!!,2
"super ring is the og of cheese snacks ❤and mamee monster snacks are a childhood favourite.back in the day,they used to come with a free mamee monster sticker if you are lucky ❤",2
popo is my mom's favorite snack she literally buy 4 packs,2
i'm in malaysia and all the snacks are very nostalgic i used to be very addicted to them not kidding,2
you like malaysian snacks. being a malaysian is more or less happy. . .😂,2
"popo, we do put it in a bowl at the bar, serve it with beers😂",1
so many of the snacks u gave them were bbq or cheese flavoured which are honestly the least tasty out of all the flavours there are. i would have given them more variety and let them try the toki tomato and the green pea one too,0
i love milo,2
golden ring and cheese ball is more better than super ring and other cheese snack in malaysia..,2
"in malaysia actually the cheese most favorite snack is called ""super ring"" its the most cheesiest one😊❤",2
mamee monster is everyone fav . my mom 60 and still love it,2
love how pretty much all of the snacks are self explanatory😂 they just crack open n understood how to enjoy the simple happiness,2
malaysia snacks are very tasty,2
milo nuggets is good,2
malaysian snacks are so addicting,0
"also, for the mamee snack some people dont really put the seasoning",0
im expecting shrimp keropok n bika,1
hv tu pour the snack direct to your mouth. tastier😅,1
that popo muruku best pair with beer,2
yeah twisties are like nik naks but i find nik naks too vinegary i actually prefer wotsits crunchy,0
pillow bags of air but it's very cheap and i love it,2
pillow bag of air! i approved that claim 🤣🤣,2
im a malaysian and i love milo,2
twisties and mamee monster are the fav !!,2
malaysia snacks is heaven ❤🇲🇾,2
milo the most popular drink ever why because i malay.,2
u should try super ring,1
fun fact:i'm a malaysian and all of the snacks on the thumbnail is that i love💀✨,2
in conclusion malaysia snacks are unhealthy,0
i like mamee..❤❤,2
mamee monster? i have it without the seasoning powder,1
good job. but the msg load in those snacks.. 🤣,2
milo is no 1 in malayy❤❤,2
cheezels and milo are both from australia so are twisties. malaysia just like them,1
"when i saw "" twisties "" my reaction was "" foohh ( fuiyoh ) legend """,1
chipsmore you will not deny it xd,2
"i ❤ malaysian snacks,maybe cause im malaysian",2
super ring ❤❤,2
"ik these are malaysian snacks, but as a bruneian i cant help but feeling so proud of this 😭. we bruneians love malaysian snacks",2
"pillow bag of air 😂😂 thanks for saying that out loud , 💯",2
malaysia snack are very delicuos!,2
"to whom that likes popo, ask them to try the 0.8kg pack version and see how fast they will go thru it with beer.. 🤣there's also happy hour snack version which is mix of muruku with beans/nuts that is also really good with beer.. 😏",2
i like all the snack except twisties cheesy cheese. all of the snack are so good 👍👍.,2
super ring is the best,2
wow they don't like super ring 😶,0
super ring is a must try snack,2
"my guilty pleasure on rotation is always cheezels, cheetos and super rings and (there is another one from indonesia). cheese, my weakness",2
the way lukas shake the mamee snacks reminds me of mamee monster's tv commercial.,1
"should have went with purple twisties, its the best flavour imo",2
"""malaysia is genius, they sell you pillow bags of air""😂 as malaysian, can't agree more😂",2
"For us, roller coasters are better!",2
u should bring them the tomato snack. keropok toki! really nice one!,2
i think this is the first time malaysia snacks is well represented. because these snacks are quite unique to malaysia. most ofthe other videos that reviwed malaysian snacks chosed the safe route and went for noticable international brands. but you guys didn't. thats good!,2
我比較喜歡 twisties cheese 口味的!!,2
kacang putih is also very good. I often buy it as a gift to foreigners when I go abroad to work.,1
noo i love bbq flavor roller coaster!!they must try bbq flavour!!,2
i'm gonna go get myself some chipsmore and if it was as bad as i remembered in contrast to their reaction i might have to riot.,0
super ring blackpink favourite malaysian snacks.,2
Cheezel is favv,2
"少了国民零食：mimi 和 tam tam! 😂malaysian are genius, they sell you a pillow bags of air 🤣🤣",2
kuih tahi itik.welcome to kelantan budu mark wiens..😀,2
"having tempoyak with budu together.. ur owesomethat is the real ""kampung man"" (local ppl)😍😍👍👍",2
yep all looks finger licking good,2
mark u are''phantom budu and tempoyak''..hahahahah i like budu and tempoyak,2
actually the way you take tempoyak+budu+chili with the cucumber is way out of my league..hahaha i would never do that even i'm born in kelantan..you should try masak lemak chili api from negeri sembilan ahhahaa,0
tempoyak is love tempoyak is life 🤣✨,2
"Try tunguk setu botul, budu confirm that you can speed up Kelantan Peikat",1
tempoyak for the win!,2
budu: fermented shrimp.,1
"omg.., budu & tempoyak ?? hahaha.. petai, maman & pekasam, you ll be back soon.. i bet u..",2
mark wiens = the tempoyak addictor,1
that budu+tempoyak combo makes mark and joel drunk,1
"the glutinous sticky rise, creamy beans and shareded coconut called pulut pagi 😁😁",2
"omg mark ! you should try cek mek molek , one of the famous kelantanese desserts !",2
yaa..tempoyak and budu make your life wonderful mark..me to..hahaha,2
tempoyak addicted definitely hahahaha..👌🏾👌🏾👌🏾👌🏾👌🏾👌🏾👌🏾😍😍❤️❤️❤️,2
i can see that you are now so addicted to tempoyak hehe.. i have tried it once and fell in love it ever since..,2
"mark, tempoyak and stink beans in a bowl! u should try gulai tempoyak daun where they cook both of your favorite elements together.",1
13:43 mark! you should bring that sataw painting home esp since stink beans are your favorite!,2
"i can say that you're really love ""tempoyak""",2
wuuhuu..tempoyak and buduu!,2
"i seem to have overlook it, did u try the cencaluk ( a fermented shrimp condiment) when you were in melaka??",1
"the combination of cucumber, tempoyak, budu and chilies in 1 bite made me laugh man!",2
oh mark u missed the pak weil akok stall. they sell akok which they cook using the traditional method.,1
tempoyak mix with budu..💪🏽💪🏽💪🏽 not every malaysian can do that.. bravo.. thank you for visit malaysia..❤️❤️❤️,2
yayy more tempoyak!!,2
woww..budu is the best thing in the world mark,2
"im very concern with mark, he is really fallen to this chronic tempoyak addiction.",0
mark is a tempoyak lover. haha,2
"""once you go tempoyak,you never go back"" -mark wiens (2019)",1
you are more malaysian than many malaysians.. tempoyak and budu and bird eyes chilli??!.. how can a white (half?) guy handle that? 🤪,0
the chilli and coconut..they call.it 'solok`,1
that's breakfast?! i wish we had breakfast like that here in the us..looks amazing!! makes my soggy bowl of frosty flakes look so depressing :(,0
maybe roti chani comes comes from roti chana dahl with chana meaning.chickpeas,1
"i really enjoy your videos. what i was surprised it is the art that goes into making a roti. i love a roti chanai, especially for breakfast, but what i find amazing is the layering of the roti and the fluffiness while still being crisp. the roti needs to be put on a plinth as other countries roti is not the same",2
no. canai comes from the malay word chanai itself. it is the act of spreading the roti across the metal top. you won’t find roti canai in chennai.,1
oh you got me roti canai! it's worth flying just to have it,2
roti canai etymology is not chennai (i used to think so too) but from a malay word meaning to flatten (by kneading?),1
"56:55 well roti canai actualy means roll/knead, so its rolled/knead bread.",1
stingray .. you mean asam pedas pari from melaka?,1
like milo 😘 welcome come to malaysia☺️,2
you should tried maggi kari with egg:),2
you should check out kolo mee in sarawak. im sure youre gonna like it too,2
yes milo 👍👍,2
u went to all the right place . my favourite too. another secret when doing chapati is the cowmilk tea. must have at santa.,2
"thats a poppadom, not what you said it was.",0
chapatti with mutton keema is the best..!!,2
interesting garlic paste i thought you fry off she just added it after everything,1
mutton is heaven mm,2
rotis are undercooked 😂😂 and no roti fluffed 😢,0
"north indian curries are too oily, not south indian. yet thai curries are least oily!",0
it bother me so much they use the wrong side of the banana leave 😂,0
our usual banana leaf staples in puchong. go on friday for most varieties.,1
"bro, you shouldn't call that dhaal (i know they tend to call it dhaal too), but its really called sambar.",0
"malaysia is a culinary paradise, rich with the flavors of its diverse cultures. 🌶🥥🍜, i am from kuala lumpur.",2
doesn't that pumpkin look good?!,2
i loved santa. the chapatis are so soft. also it is near my office(10 minutes walk). also the sardine sambal are one of the best sellers😋,2
Don't get me wrong bro.. there is a difference between Indonesian rendang and Malaysian rendang..,1
"On the island of Borneo or Kalimantan, shrimp paste is usually called Belacan",1
squid is plastic? the bones are soft bro 😑,0
The squid has plastic in it 😂😂it's not plastic bro,1
"that's not plastic.. that's squid bone, tanboy😅",1
"in squid/squid, the bones are not plastic 😁",1
Squid bones are not plastic,1
"I know why bang tanboy did not take rendang, because he was afraid his brothers said rendang is from malaysia 🤧",0
roti canai is from india and satay from indonesia,1
satay from indonesia not malaysia,1
satay is from indonesia,1
Roti canai from India. satay from Indonesia 😭😭,1
fact:satay comes from indonesia which was discovered by traders from jawa,1
roti canai made in india not malaysia,1
"roti canai from india satay from madura,indonesiathe country that likes to claim the most is malaysia,🎉🎉",2
saté is from indo,1
satay is indonesia,1
popiah is vietnamese to be fair,1
claiming indonesian satay,1
Roti canai is from indie,1
thats only kuay tiaw.. not char kuay tiaw.. char are suppose to be a bit soupy.. and much more flavourfull..,0
"Satay is also from Indonesia, not Malaysia",1
roti canai is not from India?,1
the char kueteow look so dry,0
see they said that satay is from malaysia,1
"roti canai is from india, satay is from indonesia, kway teow is from china..wkwkwkwk",1
char kuey teow dry??,1
satay froom indonesia,1
canai and satay is from malay.? 😂,1
"The satay is from Malaysia, even though it's from Indonesia 😂😂",1
btw roti canai is just paratha from india that travelled and changed a bit,1
popiah’s bread is so thin.,0
"satay from Indonesia, not Malaysia",1
Satay from Indonesia,1
wtf satay is from indonesia,1
"i just found out that the satay comes from malaysia, not from indonesia, right?",1
"Satay is native to Indonesia, not Malaysia",1
roti canai from malaysia? 😂 satay from Malaysia? it's funny,1
apparently he said the chiellini was the most nice and crispiest,2
char kway teow is actually thai fpod,1
satay from indonesian not malaysia,1
satay from all southest asia country,1
satay is from indonesi.no malaysia,1
rendang from Indonesian,1
i from malaysia and char kuey teaw is good now,2
satay from indonesian not from malaysia,1
malaysia claim from indonesia kwey tiaw satay,1
char kyaw teow is singaporean,1
roti canai and satay looks so yummy! 😋,2
i love roti canai,2
popiah is very very good,2
my fav is satay👍👍,2
the satay look horible,0
i think the roti and satay are the best,2
my favorites are roti and satay,2
i love satay!!,2
"wow, you understand the ""wok hei"" thingy.. hope you like them .. :) btw welcome to malaysia",2
the cincau will cool your body,2
gula = sugararen = palm sugar (the brown sugar),1
max that clay pot looks good..,2
welcome back to kl! soya cincau drink is colloquially known as “michael jackson” (black & white - cincau + soya bean),2
now i have to have some stingray….,0
love roti chanai and char kai teow,2
penang butterworth there a stall call ahkun loh mee best 阿坤卤面,2
"you know the roti chanai, you should try it with nutella it’s soo good!",2
pls try malaysian drinks,1
you should try fried banana 🍌,1
roti is also means bread in malaysia,1
try abc 😊,2
tru malaysia ice cream pls,1
for rojak it usually has a dried beankurt and also you tiao that is crispy,1
i don't like onion,0
i like roti canai soo much 😊,2
omgg my favv roti canaii!!,2
"Rojak, satay, kuey teow are from Indonesia.",1
try roti canal the best thing,2
rojak actually more like a salad which doesnt require any cooking on fire,1
im very happy cause your in kuala lumpur like me im malaysian people in kuala lumpur we have popular snack like mimi mamee monster panda but you guys are near klcc the twin towers but when you are there you shoud go genting highland there is roti tisu is roti canai but shape like tisue,2
"the rojak is not stir fried, actually",0
thats not boba its chincow,0
"abc can also be called ""ice kacang""",1
i love kuey teow are my favorite in malaysia whoever live in malaysia👇,2
i live in malaysia i love lasi lemak❤,2
but i love roti canai❤,2
"if you both come to malaysia again, i will suggest you both to try sagu gula melaka and dodol, it's a kind of dessert. it is very tasty and it is my favorite dessert. you both are my favorite youtubers and the one an only i searching for your videos, i always pray that your love will last until heaven because you both understand each other and very romantic♥️",2
i'm malaysian i love roti canai,2
if u dont like rojak ur not malaysian,0
i m malaysia but i also don’t like rojak,0
i live in malaysia and you really need to try the abcd it so yummy,2
and bring carrie to tealive beacause they have boba 🧋,1
you mean ice kacang as abc,1
you should try roti canai,1
rojak is just yummy don't say bad thing to it,2
the rojak cucumbers are literally the best u should try the cucumbers next😂,2
the abc is actually called ice kacang,1
i loveedd rojakk!! but why?! tell me why? is it not yummy at all?! it's my favorite but why :(,0
tbh i dont like rojak either and im malay,0
must try roti tissue and cu mart and family mart is the best in malaysia not in kl you must try and i hope i can meet you,2
ɴᴀsɪ ʟᴇᴍᴀᴋ ɪs ᴍʏ ғᴀᴠᴏʀɪᴛᴇ ᴅɪsʜ,1
as a malaysian the abc should served instantly after 🍧 shave the ice and it should be served with a scoop of ice cream 🍨.,1
i don't like rojak too i'm sorry 😐,0
i love kuey teow,2
88 is the legendary of hokkien mee 💪,2
i loove chinese sausage.,2
and that sambal balachan i miss it very much,0
"minute 29:20, your sub hokie and mee is wrong its ""hokkien mee"" correct that please. you're teaching is wrong, very invalid.",0
"39:57 it's not sambal, same with the char koey kok, it's chilli paste, we called it chilli poh. welcome to malaysia again mark, wish to meet you one day~",2
"😢they not wash that banana leaf, lazy and dangerous, wrong side of leaf",0
"kuah campur literally means mixed gravy and kuah banjir means flooding gravy, cheers",1
88 hokkien mee is my favorite.,2
hi mark i love the char kuay tau my favourite love your work mark ..best wishes winston.,2
you need to try roti jala mak limah biadap from malay,1
i think u forgot patin tempoyak😋,0
hi mark. i would like to recommend you to try siam road charcoal char koey teow at jalan siam george town 10400 p. pinang,1
"the sambal, the rendang and the malay fusion is why i love malaysia so much",2
"the nase ganda looks good to me, but i will need a spoon",2
"try out the ""koay chiap"" at kimberly streets!",1
"haa i see now..the word bing is ice correct?in the east cost they said it beng..like tea beng.. in sarawak (been to sarikei),they use ping",1
"penang char kway teow is very different from spore version in fact, has some affinity to thailand which is close byi almost like it better ..but you have not tried teochew fried kway teow with chai por 🤤",2
the chendol brown sugar is from gula melaka ( most flavorful is from city of melaka) not all noya makes it the same different from penang to melaka. the green jelly is made from ( green peas powder with pandan leaves) seen it use in yuana cooking in (the one with the biggest alaska amulet),1
13 ringgit for roti canai is expensive girl,0
i believe that white coffee is 3 in 1. the lump at the bottom of the cup looks like undissolved 3 in 1 coffee powder.,1
im in penang and hope you get to try the original roti or even roti tisu! my fav drink at any kopitiam is horkarsai which is coffee with milo and its amazing ☕,2
try the wild boar satay at new lane kopitiam,1
i saw that tsunami and instantly i had to go to the toilet. 😰,0
"hi amy, did you notice that the bean sprouts in malaysia are rather short and fat. i love those type of bean sprouts as its crunchier and juicier. maybe you should bring your parents yo try it in the future.",2
"rendang originally comes from the minangkabau ethnic in indonesia, not from malaysia.",1
makanan malaysia one of the best in the world,2
tempoyak is the best.,2
grilling with tin foil? ppfftt .. 2nd class at best. using banana leaf to grill your sting ray .. that will give it more flavor and fragrance,1
"my favorite of all time,sambal tempoyak and petai but for me the best sambal is sambal macang.this sambal is rare and difficult to get in restoran..you have to make it yourself.. that is king of all sambal if you pair with masak lemak tempoyak.nothhing can compare in the world",2
crazy petai with tempoyak: 💨🔥,1
i know you love tempoyakk,2
"petai and tempoyak😂,the best👍👍",2
bro you should peel of the white layer of petai to enjoy full favor,1
you should do tempoyak series 😂,1
go find prawn mee at sungai dua penang please..,1
mark and his love with tempoyak is undeniable,2
"hi mark, the shell that cooked in the yellow coconut milk is called ""siput"" in our bahasa malaysia. the yellow coconut milk is called, ""masak lemak"".",1
"finally, the tempoyak came..",2
they don't clean the banana leaf?.. cleaned banana leafs don't have that whities spot,0
"you should try asam pedas at pasar borong batu berendam, melaka too.. as you can watch they made roti terbang as well there too.",1
that much spice doesn't have anymore flavor.. its like an alcoholic drinking ten shots before they're buzzed.. compared to the normal person lol,0
yes mark you can. the chilli will not kill you. kill the bacteria inside your tummy.your really need a cold beer or cold lemon juice with that fiery mee.more soup. it cools and calms you.opens up your sinuses and your nose which is good.,2
"spices vs hot.. in some country, spices mean, ""very chilly/hot"".. other mean, so many spices like cumin, coriander, chilli powder, onion etc..",1
5:25 rendang malaysia is the best and better than other benua 😂😂 benua i 😂😂,2
"give me a rendang any day, hoh yes please",2
"i bought your smoked ghost chili powder.. one small shake in a bowl of chili or stew was incredibly hot.. if you can't handle this, count me out.. i do like spice.. but no",0
"hi mark. i went to shi fu in cheras specifically to try the pan mee, and what an experience it was. the spice hits you from the get-go and won't let up. the different chilis made me feel pain all over (head, chest, stomach, even thighs). while i finished my order in 5 minutes, that was a long 5 minutes. but geez, the chili high that hits when the pain goes away was truly something.at least there's an ice cream store next door to help calm the stomach. i was up and running again the next day.",2
spice and chilli is life.,2
chilli pan mee is my all time favourite 😻🥰 🌶️,2
those chillies almost head my nose running lol,0
"until i saw it written on the screen, i thought it was called chill pond me!! almost like a jamaican slang lol",1
35 ringgit similan pan mee. tourist trap sia,1
try squeezing a calamansi in then next time you try kin kin pan mee. it's another level of flavour.,1
"chillies from mexico, china, india, malaysia and thailand 🌶🌶🤯it's not just world spiciest it's spiciest from the whole world. 🔥",2
rm30 for a chili pan mee? wtf? what a rip off,0
oh potato leaves? hmm they are fuzzy and strange i guess you could boil them since not a nightshade like regular potatoes are,0
chilli makes everything better,2
adam pedas = halászlé in hungarian language. we are putting into the soup some dry aged chili.,1
asam pedas originally from johore mark not melaka,1
9:02 thats cekur manis leaf soup. or in mandarin its called ma ni cai. kin kin is my favourite dry pan mee place. im drooling watching this lol,2
"not a fan of kin kin because of how abusive the unker/boss can be with his employees. for anyone else, try super kitchen just opposite it, or visit one of their branches all over klang valley (and even one in singapore for some reasons)",0
i can smell the chilli oil from my computer,1
"i once tried a raw ghost pepper whole. it was exactly as he described but i can imagine all of the combined peppers, mala, and temperature being much much worse.",0
"asam pedas is a cousin to kengsomas u go to northern part of malaysia, asam pedas become more resemblance to kengsom. gravy become from bright red to yellowish in color just like kengsom.",1
pakcik asam pedas looks a bit like bront palarae in the future,1
"asam pedas, first thing in the morning, and he called it perfect warm up 😂😂",2
loves the kinkin panmee,2
no ghost pepper in the world spiciest pan mee.. that is quite disappointing,0
the vege for the pan mee is mani cai / sayur manis,1
the asam pedas and chilli ban mee first one look very nice,2
the leaves in the soup are sayur manis or manicai,1
as malaysian..i can confirm..its not spicies enaugh😂😂..we need more chili😂😂,0
as a malaysian they did make pringles but theres no pringles in malaysia atleast what i had seen,1
can you try our crab snack plz it's named tam tam,1
try drinho or tam tam !,1
you should try hokkien me or char koay teow also u earned a new sub!,2
that mie is from malaysia they call it maggi(btw i'm malaysian),1
"mi goreng is the best, even lunch time and you just got 'mi gorenged' 0.1% founded",2
the migoreng is from malaysia actually,1
that maggi is not from malaysia,0
the mi goreng is accually made from indonesia but that brand is maggie and its maggie is made from malaysia,1
try mister potato next plss,1
kfc is very very very very very good in malaysia,2
"yes, your correct, pringles are made from malaysia and also usa",2
brand is maggi it is indian brand,1
i'm from malaysia and the mee goreng was from malaysia,1
mister potato is malaysia too,1
"as a malaysian and if you went to melaka in malaysia i recommend you to try ""gula melaka"" it's like brown sugar",1
im from malaysia the mi goreng are the best there are my favourite,2
put jelly drink in freezer. it will be like slushie,1
me goreng is with soup,1
you should try double decker i suppose you to try the prawn one bcuz it uses real prawn,1
in your background you have 100 plus thats a drink from malaysia,1
please try malaysia ice cream and i love your videos and i’m from malaysia you’re the best🇲🇾,2
pringles are soo good especially the limited editions to be honest im a malaysian myself 😀😀,2
the maggi is not really made by malaysia it’s by israel,0
the mi goreng shares its traditionality with malaysia and indonesia,1
i from malaysia🇲🇾 and i think you should try roti canai,1
mi goreng is actually from malaysia dont worry,1
u need to try more maggie it's soo delicius(iim also malaysian)disclaimer : idk english so much,2
try maggie kari from malay,1
mi goreng(indomie) is indonesia,1
that mi goreng from malaysia,1
the malaysian pringles is mister potato,1
can you try maggi pedas giler x3,1
mie goreng is real bc indonesia not called me goreng they called it in malaysia indomie,1
fact:the mi goreng is not fake,1
that maggi ramans are actually in like every country its made in different countries,1
"the jelly drink things you were supposed to put on the freezer first to make it like ice candy, ive had those and its lit",2
cocaine- i mean white stuff is msg in malaysia,1
the second jelly one is a common snack😂,1
junpei zaki you try roti canai is so good,2
try meggi pedas giler 👍💀 the hottes meggi in malay,2
try vitagen drink it's so good and it's form malaysia!🇲🇾🇲🇾🇲🇾,2
I rarely find jelly at Petronas,1
me goreng is from malaysia and is good. and you guys have a good day. saya anak malaysia!,2
bro those jelly's are my favorite,2
go try roti canai,1
have you tried xiao long bao at mid valley,1
as a malaysian i don't actually think those jelly are good plus it is very common thing,0
try corntoz is yummy,2
try our malaysian breakfast called roti canai ^_^,2
there's an ice cream version of the jelly trust me i'm from malaysia,1
mee goreng is malaysia and indomie is indonesia,1
is maggi not mee goreng,1
yay! my country!,2
nah i like mister potato chip and tom yam,1
junpei try roti canai in malaysia its good,2
"as a malaysian, the best type of jelly is conjac jelly. try that. also mi goreng is really famous in malaysia.",2
fried ice creams are a thing in malaysia,1
"there are two version of mee goreng,one from malayasia and the other one from indonesia",1
roti canai is the best bread in the world,2
indian maggi is best in whole world,2
i ❤ grape flavoured candy too 🤩🤩,2
the fried carrot cake - we also call it cha kueh - is my absolute favourite!!,2
Rojak in our country is the name of people 😅😂,1
as a malaysian i love muah chee and rojak,2
amzing night market i always go to coffee shop❤,2
i like muah chee..every i come hougang my sister house..i buy muah chee at kovan city..,2
not the kind of carrot cake i was expecting but still looks awesome! he was mesmerizing to watch! 🎉🎉,2
why does everything have peanuts in :( in allergic and neally everything you showed had peanuts in :(,0
found it kind of odd that the fried carrot cake seemed to contain no carrot nor cake. i'm just sayin'.,0
i would try everything except that squid lol 👍🏻🇨🇦🍻,2
love the maggi goreng the best,2
wow grilled sotong expensive,0
