text,Sentiment Label,,,
I cant believe people actually like our country lmao,-1,,,
The boat u ride first even had an islamic party flag.,0,,,
Public transportation in Malaysia is confusing and unreliable.,-1,,,
the wild building is the second tallest in the world and its name is Merdeka 118 4:08 and thank you for visiting Malaysia,1,,,
"Would you mind, can you share, what type of camera you use? Thank you",0,,,
You need acar,0,,,
Food was too spicy and not to my taste in Malaysia.,-1,,,
Everything was overpriced in the tourist areas of Malaysia.,-1,,,
"Please don't buy from those roadside stalls around tourists areas. Those are not locals, so they have not got all the shots required or license to operate food stalls. God knows the kind of illness you might catch.",-1,,,
15:10 peak hours we get 3 minutes interval. Commonly 5-9minutes. Off peak and late nite more than 9 minutes.,0,,,
this dude talks like Dr. Strangelove,-1,,,
Hotel name pretty please!,1,,,
10:00 Most of the corals is crushed due to fish bombs,-1,,,
The beach in Malaysia was too crowded and dirty.,-1,,,
"The 0 choco croissants and 0 lattes you guys had at genting

Was that rm60.00 or rm 16.00!?",0,,,
This is sign for me to plan a solo trip somewhere.Thanks for the relaxing trip  new subscriber here,1,,,
Malaysia is a Multicultural and Middle Class paradise - it’s not Paris or Monaco nor it’s London or Dubai.,0,,,
welcome malaysia!,1,,,
Ppl who saw the dude that was looking at the camera in the thumbnail,0,,,
Not sure why but I felt emotional at the end of your video. Great stuff guys!,1,,,
5:00 that white rocks there where i had my 1st open water scuba diving lesson.,0,,,
"Thanks for the list, going to Penang now. Apart from your list, I’m going to try WTF Studio",1,,,
Strong aussie accent.,0,,,
Why compare to the Maldives? They are in no way similar.,-1,,,
I had a terrible experience with the taxi service in Kuala Lumpur.,-1,,,
"Just returned from KL last night!! Your video is perfect. Also was in Penang a couple of days ago, followed your recommendations!",1,,,
Nice Video Suitcase Monkey!,1,,,
Oh my hometown,0,,,
Malaysia's weather was unbearable and humid all the time.,-1,,,
Are you going on a jungle trip in Borneo also?,0,,,
Gmaps didn't recommend nasi kandar eh?,-1,,,
i visited malaysia with my family in 0006 when i was 11. 8 day every day raining,0,,,
"The ""baby sharks"" are remoras. The cleaning fishes of the ocean.",0,,,
"Nice video... simple and very in the point.. 
i enjoyed the video.. 
now am think about go to Malaysia 
Thanks for shared it",1,,,
try Nando's restaurant in Pavilion. specially peri peri chicken with sauce.,0,,,
You say eclectic we say chacha-merba or rojak,0,,,
Do you fly drone at Batu Caves ?? And how about the permission ??,0,,,
"first time watching your video, and love it!! :) it's good to see u enjoyed your short trip in kuala lumpur. please do come Malaysia again hehehe! probably other state in here~",1,,,
Welcome to Malaysia. What a wonderful video. Hope that you have had a good time and a pleasant stay.,1,,,
Everything was overpriced in the tourist areas of Malaysia.,-1,,,
The food made me sick during my trip to Malaysia.,-1,,,
The tour guide in Malaysia was disinterested and unprofessional.,-1,,,
Great and interesting content. Thank you Ken,1,,,
I love love KL. It feels right at home! So welcoming! Bukit Bitang is so vibrant in the evening!,1,,,
I'm an American.  I've lived in Malaysia now for over 8 years.  The trick is to live as a local not a tourist.,0,,,
Koh Samet Thailand,0,,,
"fun fact: Malaysia has the 4th most amount of skyscrapers in the world, behind china, us and uae",1,,,
Not much to see in Malaysia compared to other Southeast Asian countries.,0,,,
quick and fun trips,1,,,
Welcome to Malaysia! Kuala Lumpur is a good place to visit,1,,,
The food made me sick during my trip to Malaysia.,-1,,,
WAHH KUCHING.. WELCOME TO KUCHING SARAWAK,1,,,
Didn't find Malaysian culture as welcoming as expected.,-1,,,
The beach in Malaysia was too crowded and dirty.,-1,,,
Not much to see in Malaysia compared to other Southeast Asian countries.,0,,,
"Malaysia's traffic jams are the worst, wasted so much time.",-1,,,
Everything was overpriced in the tourist areas of Malaysia.,-1,,,
Thanks for visiting my country,1,,,
Malaysia is a beautiful country,1,,,
"LOVE LOVE LOVE your Vlog . I''m going to Penang in May 0004 I'm going to see the sunrise on Penang Hill , thanks to your vlog. :)",1,,,
Welcome to KL Malaysia. Hope that you guys have had a good time and a pleasant stay.,1,,,
"Welcome. If vlogger grace Kim from nyc had a good time, I am sure you will too.",1,,,
11:58 is a whole vibe...,1,,,
TQ for the video,0,,,
Malaysia got beautiful beaches. Not many tourists know about it,1,,,
Have you try Borneo Sarawak?,0,,,
Disappointed by the pollution in some parts of Malaysia.,-1,,,
"As a local, we rarely visit Jalan Alor, strictly a tourist spot",0,,,
laughed so much during this video love your humour! And it seems like Malaysia comes on to my bucket list,1,,,
Semporna is the most beautiful one. Maybe even better than Maldives.,1,,,
What transportation did u use to go to one place to another?,0,,,
Awesome,1,,,
The tour guide in Malaysia was disinterested and unprofessional.,-1,,,
Hope you’ll do another Bangkok vlog!,1,,,
What an amazing vlog… first time I have seen your channel… instantly subscribed… we are travelling to Malaysia in April 0005 for 8 days.. before heading to Thailand for Songkran and you have pretty much planned our itinerary… thank you,1,,,
"Malaysia is the centre of South East Asean, centres eazy low cost to go abroad likes go to Thailand Vietnam, Indonesia Philippines & Other's & a lot of flights from KLIA Malaysia",0,,,
Ken just so u know u're campaigning for Pas (Malaysian Islamic Party). There is it's flag on the boat :),1,,,
Welcome to my country ????,1,,,
Disappointed by the pollution in some parts of Malaysia.,-1,,,
I LOVE PANI PURI!!! ?  It's a popular Indian street food.,1,,,
The tour guide in Malaysia was disinterested and unprofessional.,-1,,,
Food was too spicy and not to my taste in Malaysia.,-1,,,
"You should come to Penang, the beautiful colonial island in Malaysia",1,,,
Disappointed by the pollution in some parts of Malaysia.,-1,,,
I love your calm patient well paced English way of explaining everything thank you  super helpful for our upcoming trip,1,,,
Perhentian island mmg hospitality people's ...bro Ken sudah pandai sikit 0 Malay Spek,0,,,
Wow welcome to kl ????,1,,,
"hey there Niki, feel free to come back to Malaysia and explore more on our country ya ;)",1,,,
Didn't find Malaysian culture as welcoming as expected.,-1,,,
You have not experienced Penang until you try squatting on a stool and slurp porridge. trishaw puller way. hee hee,0,,,
Disappointed by the pollution in some parts of Malaysia.,-1,,,
Island in Sabah was the best island destination in Malaysia,1,,,
Hotel name?,0,,,
"Most beautifully in the world  kuala Lumpur,I lived there,",1,,,
"It's pronounced as Pasar(you got this correct) Sir Nee(for Seni). Be ready to pile on the pounds in the food capital of the world, Malaysia. Lol!",0,,,
Everything was overpriced in the tourist areas of Malaysia.,-1,,,
Welcome bro to Malaysia.. Finally you're here!! Do enjoy your stay and share more videos about our lovely country!,1,,,
Malaysia Collection,0,,,
Thank you Niki for sharing your travels and stop overs. Malaysia looks like a nice place to visit.,1,,,
Owh Ken..lets keep it underrated kay. Its peaceful that way..pleassseee,1,,,
Cool,1,,,
"Thank you for visiting our country. Hope you had a wonderful time here. Do visit us again, there are many more places & other states in Malaysia with good food. Take care. Spasibo.",1,,,
Everything was overpriced in the tourist areas of Malaysia.,-1,,,
Your videos get better and better. You are thriving inAsia.,1,,,
Public transportation in Malaysia is confusing and unreliable.,-1,,,
You ken  go to visit sabah island...borneo malaysia...,0,,,
The man in the thumnail:,0,,,
The hotel staff in Penang were rude and unhelpful.,-1,,,
Food was too spicy and not to my taste in Malaysia.,-1,,,
10 ringgit for coconut in malaysia. This guy had to close their shop and kick them out from that place they ruining our tourism industry.,-1,,,
Malaysia's weather was unbearable and humid all the time.,-1,,,
"Im planing on visiting Malaysia from Algeria and this video only motivated more to do that, nice video",1,,,
"Which is the best city, calm , quiet  and not too hot to retire .
Thanks",1,,,
The attractions were overrated and too commercialized in Malaysia.,-1,,,
Felt unsafe walking at night in downtown Kuala Lumpur.,-1,,,
Disappointed by the pollution in some parts of Malaysia.,-1,,,
Food was too spicy and not to my taste in Malaysia.,-1,,,
im burmase,0,,,
"Welcome to malaysia brother, Malaysia Is truly Asia!!",1,,,
Many city all over the world exp in Europe city just a stone jungle.. But in malaysia exp Kuala Lumpur mix jungle and  building make a balance vibe..,0,,,
"Too many mosquitoes in the Malaysian rainforest, couldn't enjoy the trip.",-1,,,
go to cameron highland langkawi eagle bridge beautiful malaysia,1,,,
"Pulau kapas, tioman, redang, pemanggil",0,,,
Public transportation in Malaysia is confusing and unreliable.,-1,,,
Didn't find Malaysian culture as welcoming as expected.,-1,,,
Nice one !,1,,,
How about the night life?,0,,,
Had trouble finding vegetarian food in Malaysia.,-1,,,
Andrew said ‘yeah’,0,,,
I clicked on this video to see the above-water beach huts in the thumbnail. Wasn't in the video,0,,,
Everything was overpriced in the tourist areas of Malaysia.,-1,,,
Phu Quoc Vietnam,0,,,
If you go to perhentian island then you should go to lang tengah island. Its just beside perhentian island and in between perhentian - redang island. The water is more clear there.,1,,,
I subscribe because you detail all places you've been and let me know where you stay and the cost.,0,,,
"bukit (hill) bintang (star)....boo_kate been_tongue, pasar (market) seni (art) par_sar sir_knee",0,,,
Welcome to Malaysia,1,,,
"Hi, what was the kind of transportation you go to Penang Hill very early in the morning? I’m planning to catching the sunrise there but can only rely on public transport/grab",0,,,
This is one of the trips I have planned to do in the next couple of years. It has been over 30 years since I have been to Langkawi and Penang. Time for a revisit,0,,,
Why do influencers keep on lying about Malaysia? Anyone with eyes can see that the nature in the country has been completely destroyed and there are only palm oil fields left. It’s really sad.,-1,,,
The attractions were overrated and too commercialized in Malaysia.,-1,,,
"I know you from tiktok, and seems like you havent being so active there, i dont know. Glad i found you in YT and surprisingly visiting my country!! yeay!!! have you visiting our local supermarket yet? or you already leave?",1,,,
Nice video,1,,,
Your hair cut looks so great!! So handsome??,1,,,
"5:40 I'm a Malaysian and no hate, it's pronounced ""roti chanai"" not ""roti kanai""",0,,,
How are Christians treated in Malaysia?,0,,,
"I love love love how u stressed ""PRADA BAGS THAT ARE ABSOLUTELY GENUINE""

I almost spit my dinner out hahahahah",1,,,
"Great info thanks...any windsurfing, kite surfing here?",1,,,
We like to keep it that way…. underrated,1,,,
of course similar lah . Singapore was part of Malaysia in the past ma,0,,,
Disappointed by the pollution in some parts of Malaysia.,-1,,,
batu caves is for hindu 0:00,0,,,
Public transportation in Malaysia is confusing and unreliable.,-1,,,
Watched it in German language… very interesting,1,,,
you got ripped off,-1,,,
"Amazing this clear water, I live in Thailand but rare to find here Ken. Thanks for the nice video Ken. Greetings Till in Phuket",1,,,
"Thanks for the video.
Could you provide the name of the hotel you stayed in KL?",1,,,
"David and Goliath story is inside Al Quran, if iam not mistaken in Surah Al Baqarah, in Arabic is the story if Talut and Prophet Daud",0,,,
Having a nice holiday from Russia? Met many Ukrainians taking a nice holiday by any chance?,1,,,
"A state that you must visit on your next trip to Malaysia is Penang, Terengganu & Borneo (Sabah & Sarawak)",0,,,
I went to Malaysia some years ago.  I really liked it.,1,,,
Go around malaysia... And puri puri isnt malaysia dish,0,,,
"malaysia is bigger than you would think, you need several or one long trip to fully explore the country, beside beautiful island & beaches we also have cold highlands, cave & jungle exploring and ofc the foods",1,,,
I had a terrible experience with the taxi service in Kuala Lumpur.,-1,,,
Is right beside Twin tower is between old N new still alot renovate and overhaul some building neglect in proper funds for more then few years now is ongoing.....,0,,,
Your style of travel is ideal.  I wish you continued adventure and many new friends and foods.,1,,,
The beach in Malaysia was too crowded and dirty.,-1,,,
"One important thing to note, Malaysian islands are not filled to the brim with tourists.  One can really relax and take in the beauty.",1,,,
"I traveled to Malaysia very often.. It's very diverse, and has a lot to offer if you travel around.

And the people are amazing.. Very honest and friendly",1,,,
what are you expect before?,0,,,
15:00 that’s what she said haha,1,,,
Everything was overpriced in the tourist areas of Malaysia.,-1,,,
Very nice. Thanks for the video,1,,,
"Perhentians are boring, don't bother. I was there and after 1-3 days its boring",-1,,,
I had a terrible experience with the taxi service in Kuala Lumpur.,-1,,,
Beautyfull. Malaysia...,1,,,
No women?! i saw only one.,0,,,
"actually malaysia salaries are very low (average 1,000 USD/month) so the prices are also low",0,,,
Loved the Vlog! Would you recommend a stay at Genting?,1,,,
Welcome to Kuching!,1,,,
Malaysia is unique .. with the diversity of races ..,1,,,
The beach resort in Langkawi was not well maintained.,-1,,,
Thank You for visited Malaysia,1,,,
Food was too spicy and not to my taste in Malaysia.,-1,,,
Nice video. You pakai Sony camera ke?,1,,,
i like the roti kanai..welcome to malaysia..,1,,,
Which hotel is it please?,0,,,
The tour guide in Malaysia was disinterested and unprofessional.,-1,,,
The food made me sick during my trip to Malaysia.,-1,,,
TQ for thevideo,0,,,
What time of the year was this?,0,,,
glad you indulged with mushy swetty sailors,0,,,
This is also where I want to visit,1,,,
Hi phoebe... Welcome to KL...!,1,,,
The beach in Malaysia was too crowded and dirty.,-1,,,
You are so lucky to experience the gorgeous view!!!!!,1,,,
"For as long as i can remember, i’ve always wanted to take a trip to penang. It looks so vibrant and the food always seems amazing. I’m finally going next week and will be using your reccs, thanks so much!!",1,,,
The tour guide in Malaysia was disinterested and unprofessional.,-1,,,
Come and have all the yummy street food with us in Penang. Let us know where you guys are watching from!,1,,,
"Phoebe, when you are in Malaysia, go visit Batu Caves, Genting Highlands resort which is the same way you are going to Batu Caves, if you like the beach resort try going to Pulau Redang",0,,,
"Your videos are a joy to watch - great pace & great editing, and I love your honest opinions and the dry humour! :) How many hours of footage must have got condensed to this fab video!",1,,,
Public transportation in Malaysia is confusing and unreliable.,-1,,,
Thanks Paul and Chiaki for another amazing tour! Never thought Malaysia would be this wonderful. Added this to our list.  bri & noi,1,,,
Thanks that you made that but it was not as discreet as it should be .,0,,,
I had a terrible experience with the taxi service in Kuala Lumpur.,-1,,,
Food was too spicy and not to my taste in Malaysia.,-1,,,
He just saw the 0nd tallest skyscraper in the world Jerseys 118,1,,,
"Too many mosquitoes in the Malaysian rainforest, couldn't enjoy the trip.",-1,,,
"What an epic journey through Malaysia! ???? So much to explore, from vibrant cities to beautiful islands!",1,,,
Top tier vlog. KL is the best place to visit in Asia IMO.,1,,,
Teluk means Bay,0,,,
The beach resort in Langkawi was not well maintained.,-1,,,
I thinks You Must Go To Indonesia Jakarta Bigs City Asia..And Nice People's.,1,,,
I don't know much about Malaysia. Looks like this is the perfect intro video! Thank you youtube rec.,1,,,
That is yam with nian gao (Chinese New year glutinous rice cake) I think,0,,,
I love Malaysian islands.,1,,,
My most favorvorite dishes that pan fried oysters and turnip cake! @11.00,1,,,
Nice food,1,,,
Very helpful travel log. Thank you!,1,,,
Everything was overpriced in the tourist areas of Malaysia.,-1,,,
Hahaha Genuine Prada handbags in Petaling St,1,,,
"What a masterpiece clip, beautiful places exceptionally filmed and elegantly narrated. Great job. Congrats from Italy",1,,,
Didn't find Malaysian culture as welcoming as expected.,-1,,,
What Camara do you use and mic ?,0,,,
I was scammed at a local market in Malaysia.,-1,,,
Food was too spicy and not to my taste in Malaysia.,-1,,,
In which neighborhood did you find the cute cats? I went to KL in March and did not see any :(,-1,,,
"u should try malay and indian food too while in malaysia
i see u go mostly chinese area",0,,,
Mantap Bosskur,0,,,
The tour guide in Malaysia was disinterested and unprofessional.,-1,,,
Nice,1,,,
"Welcome to malaysia, and hopelly enjoy you holiday in malaysia",1,,,
"5:39 Roti Canai, the C there is pronounced ""CH"" like China, Chihuahua, not a ""K"" like Cambodia, Canoe..",0,,,
Thank you so much! Very helpful to preparing route to visit Malaysia. Wish you good health. God bless you.,1,,,
I noticed that you are losing your accent Nikki ! You're English is perfect almost without an accent. Good going guy !,1,,,
Dear Mr Ken Abroad.May I know when you want to send me a new video when you in Kuala Lumpur Malaysia?,0,,,
"Not malaysia now, but malaydesh..because many many bangladesh peoples @SuitcaseMonkey",0,,,
Felt unsafe walking at night in downtown Kuala Lumpur.,-1,,,
Nice video! I'm hoping for more chapters tho,1,,,
Kuala Lumpur or Bangkok? Which city do you prefer?,0,,,
It's hard to see sharks unless the ecosystem there is really good.,0,,,
The hotel staff in Penang were rude and unhelpful.,-1,,,
The hotel staff in Penang were rude and unhelpful.,-1,,,
Hope the second KL episode has the view from atop the Petronas Towers.,0,,,
Malaysian islands are gem. Only no nightlife and open consuming alcohols. That's why can't compare to other countries. But it's the most beautiful one..,1,,,
Are you going to hit the Borneo portion of Malaysia?,0,,,
I was scammed at a local market in Malaysia.,-1,,,
How to do you feel in Malaysia...,0,,,
Hello,0,,,
Try eat the world best 3 years rank no 1 best roti in the world the roti canai and nasi lemak and also ramly burger,1,,,
Welcome to Malaysia,1,,,
The attractions were overrated and too commercialized in Malaysia.,-1,,,
Not much to see in Malaysia compared to other Southeast Asian countries.,0,,,
"I haven't been to Malaysia since I was a kid in the 70s. Would love to go back as I don't really remember it. Thanks for putting this together and your chill, ""non-travel-influencer"" vibes.",1,,,
Perfect place with no drunken tourists,1,,,
Wow .. menarik,1,,,
The attractions were overrated and too commercialized in Malaysia.,-1,,,
"This guy is a traveller, not a tourist. what a nice video. immersive.",1,,,
Penang my along hous,0,,,
Amazing vlog love it  and love KL,1,,,
Do you feel safe there in KL?,0,,,
I am going to KL yet again for my 8th visit in over 0 months time - can't get enough of this amazing city,1,,,
Hello,0,,,
What airline did you take to get to Malaysia?,0,,,
Welcome to KL Malaysia. Hope that you have had a good time and a pleasant stay.,1,,,
"The trip must’ve been so much fun, I hope you had an amazing time!",1,,,
"The ""special"" fish is a ""Schiffshalter"" - Remora. Following big fish (sharks, turtle..) or Ships. one time it was following us on a dive for 30min x)",0,,,
You’re the third person I’ve seen knocking on the door.. What is the resson for that?,0,,,
The food made me sick during my trip to Malaysia.,-1,,,
"Ken, i have stayed in Malaysia all my life , always wanted to have island experience on East Coast.....but havent done it but heard about it... thank you for showing us the beauty of P.Perhentian",1,,,
All the food places you guys visited looked delicious and should taste fantastic!,1,,,
Felt unsafe walking at night in downtown Kuala Lumpur.,-1,,,
Amust visit place on planet earth,0,,,
Disappointed by the pollution in some parts of Malaysia.,-1,,,
Welcomeee,1,,,
bro why you do that in the plane the ceiling went bzzz and the lights flickered. don't do that,-1,,,
I really like how you do your vlogs. What video editing app are you using?,1,,,
"Do not underestimate Malaysia, my friend.  You've just scratched the surface of what Malaysia has to offer. Come back and visit our east coast and Borneo part as well.",1,,,
Looks amazing. What time of year is this?,1,,,
You should head to penang!,0,,,
Wow! You visited my country,1,,,
"Welcome to Malaysia,your vlog is awesome and superb.",1,,,
Malaysia's weather was unbearable and humid all the time.,-1,,,
"WELCOME TO MALAYSIA BROTHER, AND ENJOY YOU HOLIDAY IN MALAYSIA",1,,,
I had a terrible experience with the taxi service in Kuala Lumpur.,-1,,,
boo - kit bintang :),1,,,
Welcome To Malaysia Hope Your Enjoyed Sis In Malaysia,1,,,
Welcome to Malaysia????????????,1,,,
great experience.really love that.thanks from malaysia,1,,,
its Boo keet Bin Tang (Bukit Bintang),0,,,
I think you like most food and rarely say anything bad about food in these countries. It would be much harder for a picky eater. Malaysia seems kind of meh - Singapore would be better.,0,,,
terengganu keropok was very fishy,-1,,,
Love your videos :),1,,,
I have been to Malaysia 3 times and never been or heard this place. Will definitely visit next time.,1,,,
"The amount you paid for the room, you could get a 4 star hotel. Next time you are coming hit me up",0,,,
Beautiful couple,1,,,
Food was too spicy and not to my taste in Malaysia.,-1,,,
The old shoplots Infront of your hotels dates back to pre wars. Unfortunately conservation didnt start start earlier. Some of the buildings make way for modern buildings.,-1,,,
Been there. Done that. Locals always aprreciated when foreighners can speak even little Malay.,1,,,
You visiting Malaysia was not in my bucket list bro. SO HAPPPYY!,0,,,
Why don’t you take a flight by AirAsia from Thailand to Penang ?,0,,,
Beautiful and informative video. Thank you,1,,,
Thanks for trying my reco nasi lemak at village park restaurant! I hope you loved it! I hope I can meet you in the future!,1,,,
Public transportation in Malaysia is confusing and unreliable.,-1,,,
The hotel staff in Penang were rude and unhelpful.,-1,,,
Nice video of the places you dine at and the hotel you stay but can you show your pretty face when you post a new video in the future?,1,,,
"You forgot to visit another part of Malaysia, (Sabah and sarawak)",0,,,
The attractions were overrated and too commercialized in Malaysia.,-1,,,
Wonderful video! Ten Yee Tea at 5:17 looks amazing :),1,,,
Everything was overpriced in the tourist areas of Malaysia.,-1,,,
Put on your to visit list. Pulau Sipadan in Sabah.,0,,,
"Loved the idea of hiring photographer for clicking cute pictures, thinking to create similar moments with my MIL. How much did he charge though?",1,,,
This is also where I want to visit,1,,,
The attractions were overrated and too commercialized in Malaysia.,-1,,,
"You are rich, so these things do not matter.",0,,,
"Great video ,new subcriber here",1,,,
malondesh truly banglasia ????????????????????????????????????????????,0,,,
You are so right about don don donki. IT tells you what to buy. But the skincare and all flavor KitKats are top,1,,,
Lets  keep it that way..... underated,0,,,
Had trouble finding vegetarian food in Malaysia.,-1,,,
Malaysia's weather was unbearable and humid all the time.,-1,,,
Thank you,1,,,
"I've been to Malaysia 7 times with my recent visit last month. Seen Langkawi, Penang and obviously KL but there are so many places that you haven't explored yet. The country is seriously amazing",1,,,
The hotel staff in Penang were rude and unhelpful.,-1,,,
"generally, malaysia is a good destination for western tourists who want tranquillity, peace of mind, rejuvenate and recuperate. away from the hustle and bustle and feels similar to home.",1,,,
Food was too spicy and not to my taste in Malaysia.,-1,,,
Wow great vlog keep on sharing,1,,,
Your vibe and aura is sooo vibrant and contagious. I like the spirit! So inspiringg,1,,,
Welcome to Malaysia!! I just found ur channel via the business class video...and then u r visiting my country....what a coincidence! Will be looking forward to part0!,1,,,
Niki are you so acclimated to Asian food that you have no fear of dysentery?,0,,,
Public transportation in Malaysia is confusing and unreliable.,-1,,,
"Malaysia's traffic jams are the worst, wasted so much time.",-1,,,
"""God help me gondola"" had me crying",0,,,
Public transportation in Malaysia is confusing and unreliable.,-1,,,
hey ken. where did u stay while in perhentian islands?,0,,,
Beautiful my counntry,1,,,
Welcome to Malaysia  thanks,1,,,
i suggest you go to pulau mabul sabah,0,,,
Beutiful city,1,,,
"Loved the video! As usual, you made us get the itch to explore! Safe travels",1,,,
Disappointed by the pollution in some parts of Malaysia.,-1,,,
Public transportation in Malaysia is confusing and unreliable.,-1,,,
I watched this video over and is a jewel. Many others seem to agree. Be blessed Niki and yout subs!!,1,,,
"Nasi lemak,nasi kandar and laksa tradisional food from Riau Indonesia ????",0,,,
what hotel is it ? need recommendation,0,,,
teluk means bay.,0,,,
Im so happy for you. See every thing. Stay safe.,1,,,
The attractions were overrated and too commercialized in Malaysia.,-1,,,
"For a student like yourself, I think you are not doing enough studying and reading before traveling.",-1,,,
Malaysia's weather was unbearable and humid all the time.,-1,,,
"Wow you really went to all the hipster place in Penang, some are places that I saw sg influencers visited! And that curtain of the hotel, really spoil the whole vibe looking interior of the room  hahaha",1,,,
Come to Indonesia broo,0,,,
Thank you for visiting KL  sila datang lagi,1,,,
Aiya should go Mainland side eat Yam Rice a must,0,,,
The food made me sick during my trip to Malaysia.,-1,,,
I love Malaysia.. I just visited it last week,1,,,
Looked at Perenthian Islands but accommodation seems very expensive and not much availability.,-1,,,
The beach in Malaysia was too crowded and dirty.,-1,,,
The hotel staff in Penang were rude and unhelpful.,-1,,,
"To pronounce it,

Bukit Bintang = (Bookit)+Bintang.",0,,,
The hotel staff in Penang were rude and unhelpful.,-1,,,
Nice video. Can you please tell which song is used at start of video?,1,,,
What is the brand of your bag?,0,,,
Malaysia's weather was unbearable and humid all the time.,-1,,,
Hotel name?,0,,,
"As much as a pain it can be to do the work, you know you'll get way more views if this was split into 10-15 minutes videos",0,,,
The beach in Malaysia was too crowded and dirty.,-1,,,
RM10 per coconut is quite pricey honestly,-1,,,
Malaysia's weather was unbearable and humid all the time.,-1,,,
Didn't find Malaysian culture as welcoming as expected.,-1,,,
Nice travel vlogs in Penang here.,1,,,
"Penang is safe
Never heard any tourist getting mugged in the alleys

Malaysia is ranked third in Asia for safety after Japan and Singapore

Enjoy your stay",1,,,
I had a terrible experience with the taxi service in Kuala Lumpur.,-1,,,
Ken u naik islamic party boat ..that green flag on the boat is political islamic party flag.. Terengganu now on election time..,0,,,
The beach in Malaysia was too crowded and dirty.,-1,,,
Not much to see in Malaysia compared to other Southeast Asian countries.,0,,,
"Privet! It's not vegetarian nasi lemak if it has anchovies in it. Also, the ""black sauce"" (sambal) might have belachan in it. Belachan is fermented shrimp paste.",0,,,
Hallloo welcome to Kuching sarawak.. enjoying your time ya,1,,,
Public transportation in Malaysia is confusing and unreliable.,-1,,,
1st,0,,,
welcome to Malaysia,1,,,
"It rained the whole time I was in Malaysia, ruined my plans.",-1,,,
Nice video !! May I ask from your experience where is a good place to see shark in the south east Asia for snorkling ?,1,,,
"malaysia is the best, my father is from malaysia",1,,,
Amazing shots with just your iphone!!,1,,,
How was your visit. You need to try cendol during this hot day in Malaysia now day.,0,,,
I pray to allah that he forgive my sins that i made when i was ignorant.,0,,,
Good,1,,,
What is his expectation of KL in the first place? A chaotic city ? or a dump? We never know.,-1,,,
"U paid USD 05 for small room like that? You're being  ripped off, mate!",-1,,,
Welcome to ???????????????????????? miss. Jessica and mr. Jayne i hope you enjoy my cauntry,1,,,
I had a terrible experience with the taxi service in Kuala Lumpur.,-1,,,
I was scammed at a local market in Malaysia.,-1,,,
"It rained the whole time I was in Malaysia, ruined my plans.",-1,,,
